round,seed,defect,coop,exploit_,exploit
422,385,21670,26831,14661,14838
423,385,21178,27416,14435,14971
424,385,20399,28370,14480,14751
425,385,20643,27967,14494,14896
426,385,20561,27823,14667,14949
427,385,20531,27875,14626,14968
428,385,20349,28173,14533,14945
429,385,21630,27055,14757,14558
430,385,21891,26761,14943,14405
431,385,19805,29198,15557,13440
432,385,19315,29367,15644,13674
433,385,18984,29690,15622,13704
434,385,20231,28128,16101,13540
435,385,22240,26033,16668,13059
436,385,23676,24577,17201,12546
437,385,22560,25054,17723,12663
438,385,21600,26504,16900,12996
439,385,22464,25862,16822,12852
440,385,22491,25672,16968,12869
441,385,20804,27661,16139,13396
442,385,18956,29929,15150,13965
443,385,18531,30162,15290,14017
444,385,19767,28852,14931,14450
445,385,17661,31426,13902,15011
446,385,16810,31927,13614,15649
447,385,16926,32209,13359,15506
448,385,16345,32737,13212,15706
449,385,16418,32811,13260,15511
450,385,16266,33092,13144,15498
451,385,17299,31705,12937,16059
452,385,18043,30362,13019,16576
453,385,17357,31590,12209,16844
454,385,15234,33903,12645,16218
455,385,15025,34543,12641,15791
456,385,13214,36833,12669,15284
457,385,14211,36104,12777,14908
458,385,14952,35217,13221,14610
459,385,14390,35582,13312,14716
460,385,15266,34955,13169,14610
461,385,14684,35480,12800,15036
462,385,13336,37083,12530,15051
463,385,13542,36873,12535,15050
464,385,12853,37913,12176,15058
465,385,13595,37013,12392,15000
466,385,12370,38458,12596,14576
467,385,12488,38698,12351,14463
468,385,14072,36312,12691,14925
469,385,12677,38089,12505,14729
470,385,11179,39688,13116,14017
471,385,12074,38773,12948,14205
472,385,12009,39203,12623,14165
473,385,11667,38931,12974,14428
474,385,13732,36231,12587,15450
475,385,13245,37258,12444,15053
476,385,14393,35635,12493,15479
477,385,14166,36123,12311,15400
478,385,14012,36459,12091,15438
479,385,14178,35919,12347,15556
480,385,15413,34532,12186,15869
481,385,14614,35499,12359,15528
482,385,14626,35526,12374,15474
483,385,14364,35625,12654,15357
484,385,15460,34289,12328,15923
485,385,14228,35893,12397,15482
486,385,12831,37836,12357,14976
487,385,12891,37645,12332,15132
488,385,14155,35683,13329,14833
489,385,14156,35855,13274,14715
490,385,12841,37715,13019,14425
491,385,12416,38096,12966,14522
492,385,14209,35856,12781,15154
493,385,14065,36164,12707,15064
494,385,14199,35713,12847,15241
495,385,14057,35895,12768,15280
496,385,14218,35959,12773,15050
497,385,13812,36040,12927,15221
498,385,14258,35597,12878,15267
499,385,14241,35661,12796,15302
500,385,13702,36376,12811,15111
501,385,12183,38875,12651,14291
502,385,13270,36853,13660,14217
503,385,13546,36578,13696,14180
504,385,13251,36926,13546,14277
505,385,13888,36420,13687,14005
506,385,14662,34748,13934,14656
507,385,14797,34550,14086,14567
508,385,15405,33920,14247,14428
509,385,15689,34040,13893,14378
510,385,15821,33856,14027,14296
511,385,14250,35797,13842,14111
512,385,13852,36206,13683,14259
513,385,12447,38093,12728,14732
514,385,12792,37516,12985,14707
515,385,13627,36740,13256,14377
516,385,15373,34523,13369,14735
517,385,15475,34488,13243,14794
518,385,16792,32602,14113,14493
519,385,17895,31487,13947,14671
520,385,17715,31461,14113,14711
521,385,18828,30186,13627,15359
522,385,18121,31213,13090,15576
523,385,19586,29434,12597,16383
524,385,19836,29375,12510,16279
525,385,19001,30319,12244,16436
526,385,19143,30167,12285,16405
527,385,18670,30526,12416,16388
528,385,18607,30925,12159,16309
529,385,20302,28312,12546,16840
530,385,21308,27623,12703,16366
531,385,18981,30000,12758,16261
532,385,19178,30017,12648,16157
533,385,18925,29906,12731,16438
534,385,19818,29647,12559,15976
535,385,18422,30436,12408,16734
536,385,17832,31367,12004,16797
537,385,18004,31441,11957,16598
538,385,17620,31598,12050,16732
539,385,18820,29628,12895,16657
540,385,19500,29007,13215,16278
541,385,19570,28527,13525,16378
542,385,20532,27672,13573,16223
543,385,18823,29805,13300,16072
544,385,18672,29790,13467,16071
545,385,17864,30796,12936,16404
546,385,18612,29439,13363,16586
547,385,20199,27360,13654,16787
548,385,19958,27754,13549,16739
549,385,21633,25534,14808,16025
550,385,20665,26430,15055,15850
551,385,20809,26111,15218,15862
552,385,19792,27668,14375,16165
553,385,19043,28879,14606,15472
554,385,18552,29363,14556,15529
555,385,17650,30880,13825,15645
556,385,17596,30917,13895,15592
557,385,18785,29822,13345,16048
558,385,20572,27821,13929,15678
559,385,19435,28643,13618,16304
560,385,20548,27936,12949,16567
561,385,18866,29499,13031,16604
562,385,20582,27947,13064,16407
563,385,19480,28510,12864,17146
564,385,18480,29391,12596,17533
565,385,18861,29155,12502,17482
566,385,19616,28642,12708,17034
567,385,21476,26582,12556,17386
568,385,20448,27291,12327,17934
569,385,19192,27849,12903,18056
570,385,18462,29382,12502,17654
571,385,20452,27251,13298,16999
572,385,19648,28812,12829,16711
573,385,18559,29406,13651,16384
574,385,18461,29462,13639,16438
575,385,16793,31503,14298,15406
576,385,18404,29666,13516,16414
577,385,19283,28021,13318,17378
578,385,18338,28594,13250,17818
579,385,20207,26877,12575,18341
580,385,20244,26702,12563,18491
581,385,20321,26516,12605,18558
582,385,19290,27989,12746,17975
583,385,19460,27852,12641,18047
584,385,21236,26203,13366,17195
585,385,21227,26159,13494,17120
586,385,21310,25877,13380,17433
587,385,22030,25435,13109,17426
588,385,21063,26105,13175,17657
589,385,21776,25637,13226,17361
590,385,20773,26925,12801,17501
591,385,22663,24859,13416,17062
592,385,20722,27049,12971,17258
593,385,22473,25181,12446,17900
594,385,22796,24927,12496,17781
595,385,21706,26352,12734,17208
596,385,23779,24124,12671,17426
597,385,22539,25122,13076,17263
598,385,24826,22936,13477,16761
599,385,24765,22573,13754,16908
600,385,23375,23753,14047,16825
601,385,23523,23651,14033,16793
602,385,22780,24485,13936,16799
603,385,21126,26140,14751,15983
