round,seed,population_seed,strategy,count,percentage
140,894,981,exploitation,30950,0.4
141,894,981,coop,25030,0.32
141,894,981,defect,21761,0.28
141,894,981,exploitation,31209,0.4
142,894,981,coop,26710,0.34
142,894,981,defect,20546,0.26
142,894,981,exploitation,30744,0.39
143,894,981,coop,24991,0.32
143,894,981,defect,21782,0.28
143,894,981,exploitation,31227,0.4
144,894,981,coop,26927,0.35
144,894,981,defect,20488,0.26
144,894,981,exploitation,30585,0.39
145,894,981,coop,26621,0.34
145,894,981,defect,20556,0.26
145,894,981,exploitation,30823,0.4
146,894,981,coop,26663,0.34
146,894,981,defect,20686,0.27
146,894,981,exploitation,30651,0.39
147,894,981,coop,26846,0.34
147,894,981,defect,20421,0.26
147,894,981,exploitation,30733,0.39
148,894,981,coop,26673,0.34
148,894,981,defect,19979,0.26
148,894,981,exploitation,31348,0.4
149,894,981,coop,28948,0.37
149,894,981,defect,18534,0.24
149,894,981,exploitation,30518,0.39
150,894,981,coop,28928,0.37
150,894,981,defect,18430,0.24
150,894,981,exploitation,30642,0.39
151,894,981,coop,29348,0.38
151,894,981,defect,17667,0.23
151,894,981,exploitation,30985,0.4
152,894,981,coop,29684,0.38
152,894,981,defect,17512,0.22
152,894,981,exploitation,30804,0.39
153,894,981,coop,29833,0.38
153,894,981,defect,17585,0.23
153,894,981,exploitation,30582,0.39
154,894,981,coop,27970,0.36
154,894,981,defect,18454,0.24
154,894,981,exploitation,31576,0.4
155,894,981,coop,29758,0.38
155,894,981,defect,17430,0.22
155,894,981,exploitation,30812,0.4
156,894,981,coop,29283,0.38
156,894,981,defect,18087,0.23
156,894,981,exploitation,30630,0.39
157,894,981,coop,27311,0.35
157,894,981,defect,19266,0.25
157,894,981,exploitation,31423,0.4
158,894,981,coop,26041,0.33
158,894,981,defect,20434,0.26
158,894,981,exploitation,31525,0.4
159,894,981,coop,28117,0.36
159,894,981,defect,18575,0.24
159,894,981,exploitation,31308,0.4
160,894,981,coop,27909,0.36
160,894,981,defect,18561,0.24
160,894,981,exploitation,31530,0.4
161,894,981,coop,27779,0.36
161,894,981,defect,18558,0.24
161,894,981,exploitation,31663,0.41
162,894,981,coop,27437,0.35
162,894,981,defect,19317,0.25
162,894,981,exploitation,31246,0.4
163,894,981,coop,29215,0.37
163,894,981,defect,17988,0.23
163,894,981,exploitation,30797,0.39
164,894,981,coop,27335,0.35
164,894,981,defect,19843,0.25
164,894,981,exploitation,30822,0.4
165,894,981,coop,29182,0.37
165,894,981,defect,18067,0.23
165,894,981,exploitation,30751,0.39
166,894,981,coop,31394,0.4
166,894,981,defect,16407,0.21
166,894,981,exploitation,30199,0.39
167,894,981,coop,31346,0.4
167,894,981,defect,16292,0.21
167,894,981,exploitation,30362,0.39
168,894,981,coop,33108,0.42
168,894,981,defect,15257,0.2
168,894,981,exploitation,29635,0.38
169,894,981,coop,33106,0.42
169,894,981,defect,15171,0.19
169,894,981,exploitation,29723,0.38
170,894,981,coop,35146,0.45
170,894,981,defect,13870,0.18
170,894,981,exploitation,28984,0.37
171,894,981,coop,35271,0.45
171,894,981,defect,13573,0.17
171,894,981,exploitation,29156,0.37
172,894,981,coop,35413,0.45
172,894,981,defect,13602,0.17
172,894,981,exploitation,28985,0.37
173,894,981,coop,35545,0.46
173,894,981,defect,13397,0.17
173,894,981,exploitation,29058,0.37
174,894,981,coop,37456,0.48
174,894,981,defect,12337,0.16
174,894,981,exploitation,28207,0.36
175,894,981,coop,35276,0.45
175,894,981,defect,13867,0.18
175,894,981,exploitation,28857,0.37
176,894,981,coop,37368,0.48
176,894,981,defect,12397,0.16
176,894,981,exploitation,28235,0.36
177,894,981,coop,35552,0.46
177,894,981,defect,13693,0.18
177,894,981,exploitation,28755,0.37
178,894,981,coop,35689,0.46
178,894,981,defect,12864,0.16
178,894,981,exploitation,29447,0.38
179,894,981,coop,35621,0.46
179,894,981,defect,13141,0.17
179,894,981,exploitation,29238,0.37
180,894,981,coop,33817,0.43
180,894,981,defect,14071,0.18
180,894,981,exploitation,30112,0.39
181,894,981,coop,34081,0.44
181,894,981,defect,14136,0.18
181,894,981,exploitation,29783,0.38
182,894,981,coop,31810,0.41
182,894,981,defect,15830,0.2
182,894,981,exploitation,30360,0.39
183,894,981,coop,29962,0.38
183,894,981,defect,16794,0.22
183,894,981,exploitation,31244,0.4
184,894,981,coop,28209,0.36
184,894,981,defect,17870,0.23
184,894,981,exploitation,31921,0.41
185,894,981,coop,28356,0.36
185,894,981,defect,17540,0.22
185,894,981,exploitation,32104,0.41
186,894,981,coop,28667,0.37
186,894,981,defect,16818,0.22
186,894,981,exploitation,32515,0.42
187,894,981,coop,30976,0.4
187,894,981,defect,15321,0.2
187,894,981,exploitation,31703,0.41
188,894,981,coop,29232,0.37
188,894,981,defect,16297,0.21
188,894,981,exploitation,32471,0.42
189,894,981,coop,29216,0.37
189,894,981,defect,16215,0.21
189,894,981,exploitation,32569,0.42
190,894,981,coop,31116,0.4
190,894,981,defect,14722,0.19
190,894,981,exploitation,32162,0.41
191,894,981,coop,29287,0.38
191,894,981,defect,15678,0.2
191,894,981,exploitation,33035,0.42
192,894,981,coop,29571,0.38
192,894,981,defect,15193,0.19
192,894,981,exploitation,33236,0.43
193,894,981,coop,29553,0.38
193,894,981,defect,15286,0.2
193,894,981,exploitation,33161,0.43
194,894,981,coop,27602,0.35
194,894,981,defect,16603,0.21
194,894,981,exploitation,33795,0.43
195,894,981,coop,27649,0.35
195,894,981,defect,16555,0.21
195,894,981,exploitation,33796,0.43
196,894,981,coop,27848,0.36
196,894,981,defect,15940,0.2
196,894,981,exploitation,34212,0.44
197,894,981,coop,26484,0.34
197,894,981,defect,16690,0.21
197,894,981,exploitation,34826,0.45
198,894,981,coop,26137,0.34
198,894,981,defect,17400,0.22
198,894,981,exploitation,34463,0.44
199,894,981,coop,25981,0.33
199,894,981,defect,17518,0.22
199,894,981,exploitation,34501,0.44
200,894,981,coop,27887,0.36
200,894,981,defect,15924,0.2
200,894,981,exploitation,34189,0.44
201,894,981,coop,27858,0.36
201,894,981,defect,15974,0.2
201,894,981,exploitation,34168,0.44
202,894,981,coop,25941,0.33
202,894,981,defect,17406,0.22
202,894,981,exploitation,34653,0.44
203,894,981,coop,25932,0.33
203,894,981,defect,17489,0.22
203,894,981,exploitation,34579,0.44
204,894,981,coop,25728,0.33
204,894,981,defect,18109,0.23
204,894,981,exploitation,34163,0.44
205,894,981,coop,26089,0.33
205,894,981,defect,17478,0.22
205,894,981,exploitation,34433,0.44
206,894,981,coop,26379,0.34
206,894,981,defect,16788,0.22
206,894,981,exploitation,34833,0.45
207,894,981,coop,26216,0.34
207,894,981,defect,16859,0.22
207,894,981,exploitation,34925,0.45
208,894,981,coop,26402,0.34
208,894,981,defect,16314,0.21
208,894,981,exploitation,35284,0.45
209,894,981,coop,24892,0.32
209,894,981,defect,17109,0.22
209,894,981,exploitation,35999,0.46
210,894,981,coop,24845,0.32
210,894,981,defect,17079,0.22
210,894,981,exploitation,36076,0.46
211,894,981,coop,26603,0.34
211,894,981,defect,16011,0.21
211,894,981,exploitation,35386,0.45
212,894,981,coop,28467,0.36
212,894,981,defect,14600,0.19
212,894,981,exploitation,34933,0.45
213,894,981,coop,30542,0.39
213,894,981,defect,13211,0.17
213,894,981,exploitation,34247,0.44
214,894,981,coop,30418,0.39
214,894,981,defect,13308,0.17
214,894,981,exploitation,34274,0.44
215,894,981,coop,30404,0.39
215,894,981,defect,13144,0.17
215,894,981,exploitation,34452,0.44
216,894,981,coop,32489,0.42
216,894,981,defect,11966,0.15
216,894,981,exploitation,33545,0.43
217,894,981,coop,32395,0.42
217,894,981,defect,11887,0.15
217,894,981,exploitation,33718,0.43
218,894,981,coop,32521,0.42
218,894,981,defect,11968,0.15
218,894,981,exploitation,33511,0.43
219,894,981,coop,30689,0.39
219,894,981,defect,12719,0.16
219,894,981,exploitation,34592,0.44
220,894,981,coop,28694,0.37
220,894,981,defect,14041,0.18
220,894,981,exploitation,35265,0.45
221,894,981,coop,30556,0.39
221,894,981,defect,12709,0.16
221,894,981,exploitation,34735,0.45
222,894,981,coop,30714,0.39
222,894,981,defect,12673,0.16
222,894,981,exploitation,34613,0.44
223,894,981,coop,30519,0.39
223,894,981,defect,12691,0.16
223,894,981,exploitation,34790,0.45
224,894,981,coop,30704,0.39
224,894,981,defect,12746,0.16
224,894,981,exploitation,34550,0.44
225,894,981,coop,30455,0.39
225,894,981,defect,13376,0.17
225,894,981,exploitation,34169,0.44
226,894,981,coop,30594,0.39
226,894,981,defect,13170,0.17
226,894,981,exploitation,34236,0.44
227,894,981,coop,30323,0.39
227,894,981,defect,13386,0.17
227,894,981,exploitation,34291,0.44
228,894,981,coop,30849,0.4
228,894,981,defect,12584,0.16
228,894,981,exploitation,34567,0.44
229,894,981,coop,30760,0.39
229,894,981,defect,12663,0.16
229,894,981,exploitation,34577,0.44
230,894,981,coop,30364,0.39
230,894,981,defect,13255,0.17
230,894,981,exploitation,34381,0.44
231,894,981,coop,30401,0.39
231,894,981,defect,13231,0.17
231,894,981,exploitation,34368,0.44
232,894,981,coop,28313,0.36
232,894,981,defect,14700,0.19
232,894,981,exploitation,34987,0.45
233,894,981,coop,26426,0.34
233,894,981,defect,16149,0.21
233,894,981,exploitation,35425,0.45
234,894,981,coop,28241,0.36
234,894,981,defect,15178,0.19
234,894,981,exploitation,34581,0.44
235,894,981,coop,30011,0.38
235,894,981,defect,13894,0.18
235,894,981,exploitation,34095,0.44
236,894,981,coop,30151,0.39
236,894,981,defect,13742,0.18
236,894,981,exploitation,34107,0.44
237,894,981,coop,30161,0.39
237,894,981,defect,13826,0.18
237,894,981,exploitation,34013,0.44
238,894,981,coop,30221,0.39
238,894,981,defect,13802,0.18
238,894,981,exploitation,33977,0.44
239,894,981,coop,30152,0.39
239,894,981,defect,13943,0.18
239,894,981,exploitation,33905,0.43
240,894,981,coop,30175,0.39
240,894,981,defect,13878,0.18
240,894,981,exploitation,33947,0.44
241,894,981,coop,31875,0.41
241,894,981,defect,13097,0.17
241,894,981,exploitation,33028,0.42
242,894,981,coop,29999,0.38
242,894,981,defect,14457,0.19
242,894,981,exploitation,33544,0.43
243,894,981,coop,31891,0.41
243,894,981,defect,13179,0.17
243,894,981,exploitation,32930,0.42
244,894,981,coop,34123,0.44
244,894,981,defect,11587,0.15
244,894,981,exploitation,32290,0.41
245,894,981,coop,32026,0.41
245,894,981,defect,12885,0.17
245,894,981,exploitation,33089,0.42
246,894,981,coop,31990,0.41
246,894,981,defect,13085,0.17
246,894,981,exploitation,32925,0.42
247,894,981,coop,31700,0.41
247,894,981,defect,13567,0.17
247,894,981,exploitation,32733,0.42
248,894,981,coop,32062,0.41
248,894,981,defect,13084,0.17
248,894,981,exploitation,32854,0.42
249,894,981,coop,31845,0.41
249,894,981,defect,13309,0.17
249,894,981,exploitation,32846,0.42
250,894,981,coop,32059,0.41
250,894,981,defect,12737,0.16
250,894,981,exploitation,33204,0.43
251,894,981,coop,32126,0.41
251,894,981,defect,12777,0.16
251,894,981,exploitation,33097,0.42
252,894,981,coop,33844,0.43
252,894,981,defect,12000,0.15
252,894,981,exploitation,32156,0.41
253,894,981,coop,33314,0.43
253,894,981,defect,13069,0.17
253,894,981,exploitation,31617,0.41
254,894,981,coop,33277,0.43
254,894,981,defect,13019,0.17
254,894,981,exploitation,31704,0.41
255,894,981,coop,33147,0.42
255,894,981,defect,12957,0.17
255,894,981,exploitation,31896,0.41
256,894,981,coop,31242,0.4
256,894,981,defect,14521,0.19
