round,seed,defect,coop,exploit,exploit_
734,990,12645,34679,16308,14368
735,990,13044,33943,16411,14602
736,990,13432,32829,16748,14991
737,990,13045,34367,16097,14491
738,990,10631,36429,15849,15091
739,990,10581,36281,16003,15135
740,990,8470,38021,15941,15568
741,990,8210,39100,15598,15092
742,990,8485,38161,15950,15404
743,990,9100,37495,15941,15464
744,990,9169,37638,15819,15374
745,990,8522,38307,15702,15469
746,990,9087,37322,16013,15578
747,990,8657,37698,16048,15597
748,990,8887,37862,15852,15399
749,990,8465,38838,15677,15020
750,990,7980,39607,15591,14822
751,990,7545,40173,15485,14797
752,990,7385,41201,14973,14441
753,990,7260,41434,14797,14509
754,990,6586,42240,14828,14346
755,990,6516,42138,14981,14365
756,990,6391,42400,14877,14332
757,990,6109,43066,14749,14076
758,990,6718,42634,14644,14004
759,990,6391,42677,14766,14166
760,990,6626,42526,14686,14162
761,990,6580,42686,14680,14054
762,990,6594,41927,15172,14307
763,990,6823,41536,15173,14468
764,990,6723,41217,15273,14787
765,990,7368,40901,15275,14456
766,990,6630,42646,14672,14052
767,990,7225,41633,14993,14149
768,990,7103,41288,15240,14369
769,990,7641,40733,15242,14384
770,990,7451,40923,15256,14370
771,990,9455,38812,15591,14142
772,990,9580,38931,15492,13997
773,990,9609,38570,15739,14082
774,990,9472,38710,15668,14150
775,990,9519,38522,15849,14110
776,990,9549,38293,15867,14291
777,990,9982,38533,15441,14044
778,990,9747,38702,15527,14024
779,990,10450,37109,15847,14594
780,990,9769,38734,15426,14071
781,990,11604,36765,15256,14375
782,990,11959,36242,15245,14554
783,990,12504,35199,15385,14912
784,990,12274,35748,15243,14735
785,990,12369,36277,14919,14435
786,990,11874,36656,14983,14487
787,990,12270,36478,14912,14340
788,990,11828,36713,15104,14355
789,990,10945,38283,14738,14034
790,990,11777,37293,14768,14162
791,990,11595,37168,14981,14256
792,990,11787,36918,14875,14420
793,990,11690,37195,14798,14317
794,990,11908,36691,15015,14386
795,990,11562,37555,14585,14298
796,990,11110,37607,14756,14527
797,990,10829,38093,14751,14327
798,990,10985,37791,14782,14442
799,990,10749,38746,14499,14006
800,990,10882,38037,14691,14390
801,990,8826,40589,14812,13773
802,990,8879,40900,14691,13530
803,990,8618,41043,14722,13617
804,990,8470,41351,14676,13503
805,990,8543,41047,14724,13686
806,990,8123,41379,14858,13640
807,990,8158,41494,14700,13648
808,990,8742,40623,14756,13879
809,990,8767,40649,14778,13806
810,990,8612,40461,15001,13926
811,990,8516,40923,14760,13801
812,990,8484,40650,14844,14022
813,990,8856,40184,14950,14010
814,990,10810,37814,15144,14232
815,990,10822,38161,15080,13937
816,990,11194,37502,15079,14225
817,990,11332,36892,15238,14538
818,990,11129,36392,15557,14922
819,990,11412,36793,15264,14531
820,990,11074,36919,15438,14569
821,990,11238,36694,15395,14673
822,990,11266,37145,15124,14465
823,990,11000,37478,15060,14462
824,990,10541,38267,14823,14369
825,990,9337,39403,14627,14633
826,990,8957,39669,14536,14838
827,990,8751,40968,14169,14112
828,990,8289,41589,14109,14013
829,990,7726,42312,13995,13967
830,990,7822,42369,13974,13835
831,990,8448,41706,13927,13919
832,990,7992,42749,13684,13575
833,990,7414,44271,13082,13233
834,990,7256,43957,13110,13677
835,990,7311,43785,13323,13581
836,990,6817,44552,13320,13311
837,990,6930,44656,13236,13178
838,990,7146,44265,13277,13312
839,990,6860,44980,13118,13042
840,990,6665,45232,13242,12861
841,990,7066,44883,13058,12993
842,990,7067,44610,13181,13142
843,990,7279,44478,13193,13050
844,990,6830,44759,13137,13274
845,990,6825,45145,13072,12958
846,990,6524,45028,13242,13206
847,990,6403,45261,13136,13200
848,990,6386,45280,13167,13167
849,990,6395,45234,13141,13230
850,990,6486,45352,13044,13118
851,990,6680,45101,13161,13058
852,990,6709,45366,12935,12990
853,990,6954,45102,12928,13016
854,990,6777,45658,12824,12741
855,990,6816,45387,12913,12884
856,990,7089,44710,13111,13090
857,990,6464,45750,12771,13015
858,990,6485,45837,12743,12935
859,990,6973,45062,12860,13105
860,990,6695,45957,12580,12768
861,990,6295,46409,12416,12880
862,990,6260,46813,12172,12755
863,990,6349,46522,12255,12874
864,990,6793,45817,12283,13107
865,990,8247,43639,12114,14000
866,990,7904,44596,11742,13758
867,990,9338,42423,11548,14691
868,990,9225,42794,11493,14488
869,990,11032,40077,12590,14301
870,990,10752,40627,12411,14210
871,990,10670,40715,12386,14229
