round,seed,defect,exploit,exploit_,coop
311,824,29993,15176,14337,18494
312,824,31545,14281,14992,17182
313,824,31365,14523,14934,17178
314,824,31584,14368,14952,17096
315,824,31634,14353,14855,17158
316,824,31427,14300,15044,17229
317,824,31459,14356,14863,17322
318,824,31479,14371,14932,17218
319,824,32966,14838,14295,15901
320,824,33807,14274,14487,15432
321,824,35180,14478,13517,14825
322,824,35087,14386,13575,14952
323,824,35071,14622,13573,14734
324,824,34937,14512,13535,15016
325,824,36539,15049,12791,13621
326,824,37882,14837,12879,12402
327,824,38051,14686,12906,12357
328,824,39563,14910,12037,11490
329,824,42007,14622,11441,9930
330,824,41880,14593,11509,10018
331,824,41341,14956,11323,10380
332,824,41388,14823,11541,10248
333,824,41945,14760,11386,9909
334,824,40615,14343,12053,10989
335,824,41920,13843,12164,10073
336,824,42474,14134,11648,9744
337,824,40031,13940,12842,11187
338,824,39990,13937,12988,11085
339,824,40207,13786,12801,11206
340,824,38717,13525,13549,12209
341,824,38857,13504,13544,12095
342,824,39809,13539,13285,11367
343,824,38628,14057,13128,12187
344,824,38709,13956,13096,12239
345,824,37301,14678,12848,13173
346,824,36788,14799,12814,13599
347,824,36473,14891,12810,13826
348,824,35023,14553,13563,14861
349,824,34990,14655,13459,14896
350,824,36743,14540,13116,13601
351,824,37229,14679,12761,13331
352,824,37242,14662,12803,13293
353,824,35656,14626,13105,14613
354,824,37156,14254,13296,13294
355,824,35861,14192,13624,14323
356,824,35534,14296,13717,14453
357,824,34621,13903,13993,15483
358,824,36172,14075,13304,14449
359,824,38593,13520,13150,12737
360,824,38788,13401,13098,12713
361,824,39004,13292,13321,12383
362,824,39101,13265,13161,12473
363,824,37470,14109,12830,13591
364,824,37485,13988,12721,13806
365,824,36149,14418,12753,14680
366,824,34437,14695,12902,15966
367,824,33049,14383,13648,16920
368,824,33102,14498,13525,16875
369,824,31820,14198,13814,18168
370,824,30698,14457,14223,18622
371,824,32341,13964,14386,17309
372,824,31987,14025,14704,17284
373,824,33362,14170,14142,16326
374,824,34942,13989,13905,15164
375,824,32522,15501,13450,16527
376,824,33453,15863,13003,15681
377,824,33221,15952,13091,15736
378,824,33502,15953,13106,15439
379,824,34271,15822,13184,14723
380,824,34449,15667,13328,14556
381,824,32810,15698,13594,15898
382,824,32902,15510,13477,16111
383,824,32900,15717,13577,15806
384,824,32985,15538,13668,15809
385,824,33352,15454,13518,15676
386,824,33397,15573,13306,15724
387,824,33281,15729,13437,15553
388,824,34777,15674,13136,14413
389,824,34997,15580,13072,14351
390,824,35010,15696,13105,14189
391,824,34887,15476,13013,14624
392,824,34741,15707,13304,14248
393,824,33510,16037,12751,15702
394,824,32157,15841,13143,16859
395,824,31330,16343,13138,17189
396,824,31130,16378,13082,17410
397,824,32588,16585,12539,16288
398,824,31993,16801,12152,17054
399,824,32519,16672,12336,16473
400,824,30190,17525,11757,18528
401,824,30166,17661,11853,18320
402,824,28624,17855,11839,19682
403,824,27603,17301,12084,21012
404,824,27685,17336,12127,20852
405,824,27856,17131,12252,20761
406,824,27657,17240,12166,20937
407,824,30137,17895,10890,19078
408,824,31305,18013,10390,18292
409,824,29838,17706,10790,19666
410,824,28912,17621,10784,20683
411,824,29083,17709,10907,20301
412,824,27797,18017,10497,21689
413,824,29444,17933,10750,19873
414,824,29153,17922,10803,20122
415,824,27216,17968,11156,21660
416,824,25950,17921,10904,23225
417,824,27179,18219,10393,22209
418,824,26099,18017,11097,22787
419,824,24457,17825,10937,24781
420,824,22039,17485,11215,27261
421,824,21983,17532,11310,27175
422,824,21738,17950,11403,26909
423,824,22865,18155,10810,26170
424,824,23090,18146,10708,26056
425,824,24550,17619,11219,24612
426,824,23403,17187,11440,25970
427,824,25550,16627,12390,23433
428,824,27160,16981,11754,22105
429,824,28666,16998,11911,20425
430,824,30007,17244,11427,19322
431,824,30559,16995,11568,18878
432,824,29301,16862,11923,19914
433,824,29880,16611,11652,19857
434,824,29278,17047,11646,20029
435,824,30698,16448,11723,19131
436,824,28085,17526,11395,20994
437,824,26810,16941,11926,22323
438,824,26784,16893,11913,22410
439,824,26907,16790,11790,22513
440,824,28163,16754,12373,20710
441,824,26630,15952,12765,22653
442,824,25091,15841,12934,24134
443,824,23644,16018,13010,25328
444,824,21812,16227,12290,27671
445,824,20273,15673,13030,29024
446,824,20178,15856,12990,28976
447,824,19824,15506,13013,29657
448,824,19338,15866,12902,29894
449,824,19097,15661,12978,30264
450,824,18598,15873,12680,30849
451,824,18544,15929,12966,30561
452,824,20024,16051,12902,29023
453,824,19898,15874,12996,29232
454,824,19513,16364,12719,29404
455,824,19863,16129,12480,29528
456,824,18643,16098,12579,30680
457,824,18276,15995,12702,31027
458,824,19919,16006,12979,29096
459,824,19829,16019,12880,29272
460,824,21169,16381,12771,27679
461,824,20981,16409,12846,27764
462,824,19103,16104,12838,29955
463,824,19942,15801,13358,28899
464,824,19520,15778,13311,29391
465,824,19399,15720,13239,29642
466,824,20052,15850,13445,28653
467,824,20260,15707,13171,28862
468,824,20317,15780,13296,28607
469,824,19287,15394,13360,29959
470,824,19726,15503,13513,29258
471,824,19736,15591,13441,29232
472,824,20783,15580,13362,28275
473,824,21021,15285,13746,27948
474,824,21207,15434,13845,27514
475,824,20675,15277,13811,28237
476,824,20357,15387,13362,28894
477,824,21384,15844,13547,27225
478,824,21603,15635,13498,27264
479,824,21358,15645,13508,27489
480,824,20290,15800,13217,28693
481,824,22306,15229,13648,26817
482,824,22454,14959,13720,26867
483,824,20686,14969,13986,28359
484,824,21858,14919,14306,26917
485,824,22094,14667,14088,27151
486,824,21739,14774,14263,27224
487,824,21577,14857,14514,27052
488,824,21182,14800,14496,27522
489,824,20397,14760,14479,28364
490,824,19647,14183,14639,29531
491,824,21252,13873,15521,27354
492,824,22500,14498,14892,26110
493,824,22385,14467,14777,26371
494,824,21943,14485,15007,26565
495,824,21957,14651,15135,26257
496,824,21399,14368,15332,26901
497,824,22834,13769,16091,25306
498,824,23567,13774,15823,24836
499,824,24204,13563,15961,24272
500,824,23102,13291,15915,25692
501,824,21762,13661,15639,26938
502,824,22186,13611,15352,26851
503,824,20383,12977,16019,28621
504,824,21913,12492,16754,26841
