round,seed,coop,exploit_,exploit,defect
500,256,31961,13052,15848,17139
501,256,31764,13157,15937,17142
502,256,33765,13517,14978,15740
503,256,33844,13600,14880,15676
504,256,34348,13524,14930,15198
505,256,32415,13699,15372,16514
506,256,30342,12905,16496,18257
507,256,30369,12724,16897,18010
508,256,30982,12776,16977,17265
509,256,29886,13219,16864,18031
510,256,27662,13442,16674,20222
511,256,28971,13480,16415,19134
512,256,29972,13544,16349,18135
513,256,30044,13632,16351,17973
514,256,29818,13815,16371,17996
515,256,31189,13447,16404,16960
516,256,32922,13638,15153,16287
517,256,34917,14317,14163,14603
518,256,34869,14411,14129,14591
519,256,36190,14525,13453,13832
520,256,36767,14869,13183,13181
521,256,34756,13993,14217,15034
522,256,34995,14785,13914,14306
523,256,35440,14343,13897,14320
524,256,34396,14978,13682,14944
525,256,36917,15388,12411,13284
526,256,36767,15514,12357,13362
527,256,37211,15644,12269,12876
528,256,39028,14559,12535,11878
529,256,39777,14663,12220,11340
530,256,41980,13693,12683,9644
531,256,41905,13300,12689,10106
532,256,40236,13774,13200,10790
533,256,42983,13335,12285,9397
534,256,42948,13494,12494,9064
535,256,43133,13619,12458,8790
536,256,42471,13356,12543,9630
537,256,40225,13968,13037,10770
538,256,42208,13521,12503,9768
539,256,42619,13320,12344,9717
540,256,41414,13884,12307,10395
541,256,38865,14302,12899,11934
542,256,36498,14097,13579,13826
543,256,37077,14495,13676,12752
544,256,38051,13932,13840,12177
545,256,40436,13895,13031,10638
546,256,39607,14186,12973,11234
547,256,39650,14117,12784,11449
548,256,42047,13375,12640,9938
549,256,41636,13493,12797,10074
550,256,39146,14035,13266,11553
551,256,37511,13806,14111,12572
552,256,35428,14417,14090,14065
553,256,34933,14305,14182,14580
554,256,33440,15005,14166,15389
555,256,33654,14991,14248,15107
556,256,32125,15456,13876,16543
557,256,31783,15604,14210,16403
558,256,31104,15250,14528,17118
559,256,31093,15132,14539,17236
560,256,31049,15144,14555,17252
561,256,29702,15016,15160,18122
562,256,29768,15076,15050,18106
563,256,29649,14911,15225,18215
564,256,29703,15079,15141,18077
565,256,31816,14574,15058,16552
566,256,31875,14659,15132,16334
567,256,30186,14739,15558,17517
568,256,32205,14166,15911,15718
569,256,30093,15152,15154,17601
570,256,30488,15603,14933,16976
571,256,30499,15477,14819,17205
572,256,32814,15419,14389,15378
573,256,35033,14501,14746,13720
574,256,35072,14448,14779,13701
575,256,32623,15677,14345,15355
576,256,30451,16123,14213,17213
577,256,28410,15825,14861,18904
578,256,26915,16694,14832,19559
579,256,25105,17452,14219,21224
580,256,24369,16901,14327,22403
581,256,26090,16202,14644,21064
582,256,26074,16196,14509,21221
583,256,25971,16092,14525,21412
584,256,24685,15881,15372,22062
585,256,26852,15915,15192,20041
586,256,26533,16078,15254,20135
587,256,26811,16188,15129,19872
588,256,27057,15895,15175,19873
589,256,25131,15395,15907,21567
590,256,24910,15406,16063,21621
591,256,25099,15722,16133,21046
592,256,26954,15900,15429,19717
593,256,26659,15339,15634,20368
594,256,26517,15428,15563,20492
595,256,26458,15491,15717,20334
596,256,26392,15027,15577,21004
597,256,28260,14862,15436,19442
598,256,30029,15561,14538,17872
599,256,28368,16526,14397,18709
600,256,26520,15137,15617,20726
601,256,26125,15236,15667,20972
602,256,24159,15301,15599,22941
603,256,23973,15335,15560,23132
604,256,22336,14673,16145,24846
605,256,22251,14737,16156,24856
606,256,21735,14252,15844,26169
607,256,21620,14395,15860,26125
