round,seed,defect,coop,exploit_,exploit
536,385,45822,8191,13564,10423
537,385,44753,8922,13846,10479
538,385,43542,9415,14098,10945
539,385,42664,10114,13972,11250
540,385,42627,10593,13758,11022
541,385,43260,9620,13593,11527
542,385,44314,8979,13520,11187
543,385,44299,9093,13515,11093
544,385,45741,8515,13277,10467
545,385,45229,8235,13738,10798
546,385,42816,9858,13568,11758
547,385,42844,9803,13630,11723
548,385,42784,9951,13762,11503
549,385,42860,9691,13628,11821
550,385,42715,9973,13714,11598
551,385,41725,10920,13687,11668
552,385,42834,9911,13986,11269
553,385,42942,9832,13871,11355
554,385,41822,10762,14045,11371
555,385,41313,10737,14307,11643
556,385,41481,10625,14238,11656
557,385,43048,9793,13640,11519
558,385,43548,9249,13814,11389
559,385,43829,9219,13695,11257
560,385,42892,9886,14068,11154
561,385,43130,9761,14063,11046
562,385,44380,8738,13993,10889
563,385,43784,9135,13818,11263
564,385,43862,9245,13821,11072
565,385,44604,8762,13792,10842
566,385,44449,8877,13767,10907
567,385,42903,9841,14368,10888
568,385,42358,10213,14200,11229
569,385,41088,10990,14555,11367
570,385,40787,11212,14568,11433
571,385,40351,11761,14388,11500
572,385,38856,12538,14602,12004
573,385,38946,12772,14441,11841
574,385,39232,12327,14491,11950
575,385,40141,11845,13786,12228
576,385,40579,11382,13624,12415
577,385,41764,10892,13069,12275
578,385,41937,10427,13138,12498
579,385,41925,10894,12889,12292
580,385,43925,9455,12657,11963
581,385,42805,10104,13161,11930
582,385,43016,10301,12952,11731
583,385,43032,9948,13138,11882
584,385,44354,9324,12984,11338
585,385,43984,9477,12968,11571
586,385,45738,8285,12316,11661
587,385,45493,8603,12315,11589
588,385,45102,8834,12409,11655
589,385,43439,9933,12555,12073
590,385,43675,9646,12528,12151
591,385,44480,8932,12660,11928
592,385,46338,7773,12332,11557
593,385,43778,9663,13414,11145
594,385,43650,9600,13462,11288
595,385,46456,7995,12285,11264
596,385,47425,7262,12109,11204
597,385,47554,7390,12061,10995
598,385,47374,7666,12001,10959
599,385,48219,6659,11868,11254
600,385,46980,7601,12091,11328
601,385,47233,7433,11898,11436
602,385,46042,8033,12222,11703
603,385,45956,8287,12185,11572
604,385,47212,7581,11742,11465
605,385,47715,7097,11936,11252
606,385,47679,7231,11833,11257
607,385,48641,6714,11630,11015
608,385,48691,6499,11703,11107
609,385,47756,7118,11663,11463
610,385,47713,7068,11651,11568
611,385,47777,6846,11893,11484
612,385,48956,6517,11226,11301
613,385,49868,6109,10920,11103
614,385,50484,5567,11031,10918
615,385,51514,5095,10996,10395
616,385,52512,4439,10657,10392
617,385,52975,4181,10469,10375
618,385,53302,4330,10091,10277
619,385,53159,4232,10312,10297
620,385,53042,4223,10315,10420
621,385,52268,4670,10371,10691
622,385,53482,4120,9840,10558
623,385,50514,5447,11670,10369
624,385,50627,5333,11649,10391
625,385,50371,5411,11675,10543
626,385,52288,4615,10354,10743
627,385,51499,5047,10743,10711
628,385,52555,4588,10137,10720
629,385,51462,5166,10272,11100
630,385,51664,5225,10190,10921
631,385,52263,4480,10225,11032
632,385,52216,4624,10210,10950
633,385,52324,4594,10213,10869
634,385,52406,4453,10270,10871
635,385,53949,3809,9935,10307
636,385,53972,3876,9815,10337
637,385,54742,3495,9787,9976
638,385,55562,3109,9476,9853
639,385,55410,3301,9359,9930
640,385,54848,3600,9529,10023
641,385,53264,4140,10398,10198
642,385,53334,4201,10243,10222
643,385,53782,4061,10251,9906
644,385,53343,4183,10625,9849
645,385,53376,4194,10559,9871
646,385,53063,4382,10529,10026
647,385,53288,4190,10596,9926
648,385,53054,4349,10683,9914
649,385,52961,4307,10713,10019
650,385,53069,4371,10557,10003
651,385,53894,3809,10266,10031
652,385,51110,4890,11751,10249
653,385,48688,6041,11446,11825
654,385,48748,6008,11390,11854
655,385,48574,6087,11516,11823
656,385,48330,6062,11612,11996
657,385,49084,5647,11591,11678
658,385,46964,6576,12951,11509
659,385,45943,7200,13264,11593
660,385,45910,7203,13272,11615
661,385,46807,6811,12763,11619
662,385,46841,6513,12824,11822
663,385,46220,7260,12673,11847
664,385,45922,7228,12939,11911
665,385,45250,7700,13090,11960
666,385,46753,7171,12196,11880
667,385,46278,7084,12497,12141
668,385,46474,7229,12410,11887
669,385,47982,6370,11556,12092
670,385,47874,6387,11671,12068
671,385,47127,6635,11855,12383
672,385,47226,6743,11774,12257
673,385,48591,5725,11228,12456
674,385,47895,6004,11200,12901
675,385,45422,7128,12761,12689
676,385,47339,6551,11545,12565
677,385,47423,6753,11353,12471
678,385,47370,6654,11564,12412
679,385,47002,6701,11653,12644
680,385,47078,6640,11619,12663
681,385,47185,6564,11547,12704
682,385,46402,7340,11628,12630
683,385,46571,7381,11427,12621
684,385,45669,7772,11562,12997
685,385,44848,8296,11801,13055
686,385,45648,7794,11730,12828
687,385,45545,7714,11738,13003
688,385,44772,8046,12371,12811
689,385,44321,8219,12370,13090
690,385,44623,8079,12473,12825
691,385,44351,8347,12348,12954
692,385,44521,8141,12344,12994
693,385,45087,7819,12350,12744
694,385,43665,7976,13465,12894
695,385,44023,7531,13828,12618
696,385,44241,7473,13602,12684
697,385,44050,7514,13787,12649
698,385,42955,8585,13307,13153
699,385,44069,8094,12751,13086
700,385,43798,8123,12794,13285
701,385,45116,7226,12751,12907
702,385,45247,7284,12680,12789
703,385,46735,6583,12622,12060
704,385,46205,6941,12670,12184
705,385,45984,6826,12744,12446
706,385,46030,6962,12677,12331
707,385,48615,5879,11870,11636
708,385,48497,5820,11874,11809
709,385,49249,5361,11753,11637
710,385,49143,5286,11979,11592
711,385,49908,5041,11768,11283
712,385,49255,5242,12052,11451
713,385,49320,5290,11903,11487
714,385,50086,4987,11839,11088
715,385,50098,4945,11796,11161
716,385,52595,3940,12221,9244
717,385,53209,3515,12234,9042
718,385,53006,3492,12269,9233
719,385,52570,3841,12585,9004
720,385,52450,3935,12706,8909
721,385,52480,3981,12570,8969
722,385,49818,4895,12249,11038
723,385,49923,5028,12095,10954
724,385,49293,5245,12179,11283
725,385,49831,4831,12289,11049
726,385,49919,4839,12144,11098
727,385,47320,5916,13410,11354
728,385,47244,5863,13345,11548
729,385,49667,4936,11797,11600
730,385,51165,4303,11052,11480
731,385,51189,4080,11088,11643
732,385,51250,4113,11124,11513
733,385,51294,4289,10939,11478
734,385,50574,4741,11357,11328
735,385,50065,5025,11200,11710
736,385,52463,4128,11595,9814
737,385,52602,4174,11420,9804
738,385,55413,3059,9797,9731
739,385,55306,3127,9839,9728
740,385,52604,4247,10601,10548
741,385,53864,3586,10726,9824
742,385,53930,3550,10679,9841
743,385,54594,3115,10403,9888
744,385,54625,3041,10382,9952
745,385,54606,3084,10384,9926
746,385,54543,3189,10394,9874
747,385,53928,3450,10718,9904
748,385,53946,3483,10684,9887
749,385,53916,3536,10631,9917
750,385,53532,3775,10902,9791
751,385,50763,4788,12020,10429
752,385,52752,4103,11138,10007
753,385,52665,4100,11107,10128
754,385,51981,4535,11121,10363
755,385,51176,4932,11502,10390
756,385,50321,5525,11784,10370
757,385,49390,5926,11901,10783
758,385,48728,6372,11843,11057
759,385,48447,6588,11833,11132
760,385,49519,5893,11761,10827
761,385,50239,5549,11393,10819
762,385,52251,4692,10543,10514
763,385,53211,4164,10532,10093
764,385,53938,3697,10289,10076
765,385,53211,4351,10272,10166
766,385,53489,4003,10282,10226
767,385,53797,3939,10411,9853
768,385,53921,3824,10378,9877
769,385,52991,4342,10364,10303
770,385,53049,4424,10345,10182
771,385,52994,4418,10375,10213
772,385,52169,4697,10602,10532
773,385,52364,4876,10361,10399
774,385,52314,4700,10505,10481
775,385,52345,4793,10441,10421
776,385,52210,4732,10503,10555
777,385,51434,4857,10722,10987
778,385,52035,4896,10485,10584
779,385,51609,5251,10601,10539
780,385,54108,3831,9910,10151
781,385,55210,3501,9527,9762
782,385,55007,3565,9680,9748
783,385,54309,3769,10067,9855
784,385,53186,4198,10316,10300
785,385,53079,4464,10306,10151
786,385,52857,4613,10261,10269
787,385,54137,3904,10113,9846
788,385,54388,3852,9974,9786
789,385,55006,3659,9922,9413
790,385,55001,3468,10013,9518
791,385,54155,3898,10019,9928
792,385,53143,4516,10088,10253
793,385,53264,4332,10065,10339
794,385,53243,4251,10195,10311
795,385,54243,3921,9998,9838
796,385,53121,4453,10298,10128
797,385,50646,5453,11725,10176
798,385,50713,5408,11807,10072
799,385,50392,5360,11936,10312
800,385,50444,5698,11813,10045
801,385,49327,6088,11997,10588
802,385,49511,6306,11651,10532
803,385,50778,5441,11763,10018
804,385,50485,5482,11774,10259
805,385,49975,6087,11895,10043
806,385,50884,5440,11845,9831
807,385,50564,5645,11656,10135
808,385,50808,5337,11727,10128
809,385,50719,5755,11603,9923
810,385,50532,5707,11706,10055
811,385,51771,5041,11429,9759
812,385,49011,6289,13005,9695
813,385,48799,6409,13027,9765
814,385,49753,5879,12431,9937
815,385,49763,5838,12667,9732
816,385,49642,5581,12729,10048
817,385,52303,4488,11086,10123
818,385,52942,4272,11049,9737
819,385,53842,3764,11065,9329
820,385,54082,3915,10866,9137
821,385,51213,4735,11377,10675
822,385,51462,4855,11215,10468
823,385,50651,5354,11411,10584
824,385,50208,5368,11584,10840
825,385,51222,5037,11254,10487
826,385,51493,5013,11162,10332
827,385,51270,4991,11362,10377
828,385,51083,5016,11335,10566
829,385,51088,5034,11268,10610
830,385,51254,4822,11312,10612
831,385,51177,4981,11336,10506
832,385,48666,5902,11451,11981
833,385,49253,5511,11287,11949
834,385,46931,6602,11937,12530
835,385,46209,7344,12301,12146
836,385,45452,7667,12592,12289
837,385,44235,8404,12667,12694
838,385,44410,8342,12586,12662
839,385,45233,7654,12115,12998
840,385,47772,6604,10801,12823
841,385,48177,6653,10492,12678
842,385,47665,6848,10706,12781
843,385,48355,6281,10812,12552
844,385,48489,6126,10916,12469
845,385,48502,5990,11037,12471
846,385,48085,6375,10951,12589
847,385,47044,6942,11419,12595
848,385,44272,8716,11562,13450
849,385,43518,9162,11892,13428
850,385,43438,9154,11981,13427
851,385,43628,9035,11855,13482
852,385,43630,9096,11828,13446
853,385,42184,9850,11815,14151
854,385,41957,10043,11811,14189
855,385,42714,9059,11921,14306
856,385,42778,9280,11809,14133
857,385,43660,8363,11571,14406
858,385,43582,8455,11578,14385
859,385,42673,9244,11500,14583
860,385,42719,9134,11525,14622
861,385,43487,8555,11744,14214
862,385,43444,8602,11772,14182
863,385,42108,9605,12034,14253
864,385,41220,10279,11668,14833
865,385,41367,10103,11754,14776
866,385,42116,9704,11576,14604
867,385,41764,9833,11627,14776
868,385,42043,9987,11426,14544
869,385,42819,9085,11381,14715
870,385,42799,9108,11405,14688
871,385,44107,8348,11113,14432
872,385,44680,7747,11404,14169
873,385,42585,8698,12219,14498
874,385,41525,9638,12581,14256
875,385,44214,8156,12224,13406
876,385,45806,7533,12156,12505
877,385,45695,7758,12033,12514
878,385,46063,7568,11908,12461
879,385,46781,6741,11729,12749
880,385,44303,8114,12795,12788
881,385,42323,8790,13667,13220
882,385,43082,8255,13815,12848
883,385,42107,9024,14098,12771
884,385,41502,9547,14103,12848
