round,seed,defect,coop,exploit,exploit_
417,780,50813,4077,11789,11321
418,780,50942,4151,11753,11154
419,780,50844,4178,11633,11345
420,780,51190,4119,11613,11078
421,780,49515,4711,12817,10957
422,780,49740,4685,12672,10903
423,780,50286,4360,12628,10726
424,780,51625,3661,11663,11051
425,780,50211,4308,12067,11414
426,780,50066,4340,12195,11399
427,780,47639,5077,14185,11099
428,780,46245,5901,14557,11297
429,780,46465,5843,14476,11216
430,780,45467,6595,14884,11054
431,780,45408,6479,14895,11218
432,780,45619,6523,14820,11038
433,780,45097,6624,15006,11273
434,780,42745,7676,16753,10826
435,780,42277,8416,16974,10333
436,780,44396,7224,15415,10965
437,780,43494,8114,15984,10408
438,780,43352,8012,16040,10596
439,780,43368,7788,16140,10704
440,780,43461,7958,16022,10559
441,780,43276,8074,16107,10543
442,780,42818,8702,16355,10125
443,780,42547,8763,16456,10234
444,780,41191,9735,16591,10483
445,780,40085,10697,16573,10645
446,780,41507,9558,16666,10269
447,780,41172,9704,16667,10457
448,780,39578,10732,17079,10611
449,780,39829,10846,16976,10349
450,780,38577,11607,17675,10141
451,780,37579,12736,17243,10442
452,780,35216,14155,16726,11903
453,780,37677,12640,15246,12437
454,780,36639,13430,15118,12813
455,780,36783,13525,15174,12518
456,780,35842,14331,15199,12628
457,780,37327,13342,14376,12955
458,780,38761,12215,14247,12777
459,780,40128,10923,14158,12791
460,780,40026,11068,14058,12848
461,780,40360,10934,13994,12712
462,780,40451,11084,13844,12621
463,780,40228,11139,13933,12700
464,780,40352,11065,13947,12636
465,780,40315,10979,13903,12803
466,780,40114,10835,14219,12832
467,780,40056,10933,14111,12900
468,780,39430,11747,14072,12751
469,780,39202,11860,14290,12648
470,780,38876,11807,14617,12700
471,780,39674,11304,14271,12751
472,780,42129,9811,14487,11573
473,780,42182,9754,14580,11484
474,780,43644,8856,14203,11297
475,780,44652,8447,13558,11343
476,780,43686,8711,14547,11056
477,780,42362,9987,14907,10744
478,780,41160,10310,15610,10920
479,780,39578,10697,16764,10961
480,780,40193,10362,16509,10936
481,780,41605,9708,15555,11132
482,780,40635,10585,15379,11401
483,780,38146,11587,17184,11083
484,780,40500,10223,17677,9600
485,780,39655,10980,17545,9820
486,780,39348,11329,17215,10108
487,780,39069,11474,17311,10146
488,780,39147,11456,17271,10126
489,780,39055,11603,17249,10093
490,780,39350,11283,17376,9991
491,780,38876,11307,17500,10317
492,780,40818,10148,16923,10111
493,780,40623,10231,17019,10127
494,780,39529,10344,17745,10382
495,780,37366,12096,18868,9670
496,780,37255,12031,18924,9790
497,780,37142,12014,19036,9808
498,780,36693,12402,18965,9940
499,780,36591,12362,19217,9830
500,780,36764,12242,19102,9892
501,780,36613,12184,19303,9900
502,780,39168,10799,18188,9845
503,780,38302,11635,17866,10197
504,780,37612,12536,17650,10202
505,780,38147,11766,17960,10127
506,780,36722,12830,17704,10744
507,780,36934,12774,17541,10751
508,780,36886,12906,17547,10661
509,780,35850,12958,17521,11671
510,780,35903,13206,17342,11549
511,780,35017,14189,17570,11224
512,780,35048,14078,17719,11155
513,780,36011,13127,17953,10909
514,780,34742,14400,17125,11733
515,780,34441,14437,17301,11821
516,780,34607,14355,17267,11771
517,780,32405,15794,16845,12956
518,780,31442,16949,16566,13043
519,780,32346,15930,16735,12989
520,780,30248,17511,16536,13705
521,780,32357,15934,16786,12923
522,780,31371,16906,16451,13272
523,780,30476,17925,16114,13485
524,780,30599,18045,15988,13368
525,780,30649,17891,16095,13365
526,780,31741,17185,15692,13382
527,780,32781,16765,15799,12655
528,780,32754,16786,15822,12638
529,780,31428,17576,16774,12222
530,780,29045,19222,17820,11913
531,780,29931,18943,17051,12075
532,780,31146,17533,16806,12515
533,780,33411,16051,15319,13219
534,780,34852,14562,15628,12958
535,780,36095,13615,14787,13503
536,780,37073,12826,14917,13184
537,780,34519,14506,16619,12356
538,780,33225,15560,17370,11845
539,780,33057,15661,17340,11942
540,780,33367,15426,17225,11982
541,780,34285,14355,17861,11499
542,780,34505,14469,17758,11268
543,780,35854,13175,18113,10858
544,780,36983,12167,18020,10830
545,780,35753,13175,17646,11426
546,780,34700,14340,17870,11090
547,780,36998,12844,16577,11581
548,780,35744,13220,17487,11549
549,780,37414,11957,17582,11047
550,780,37245,11980,17755,11020
551,780,39645,10464,15972,11919
552,780,42116,9299,14660,11925
553,780,42598,8739,14639,12024
554,780,41371,9629,14965,12035
555,780,39146,10940,15799,12115
556,780,37820,12029,15726,12425
557,780,35288,13481,16865,12366
558,780,35065,13624,16761,12550
559,780,35286,13355,16932,12427
560,780,34893,13610,16808,12689
561,780,36144,12508,17068,12280
562,780,36611,12174,16681,12534
563,780,37442,11510,16416,12632
564,780,37388,11393,16550,12669
565,780,37241,11459,16410,12890
566,780,37258,11346,16477,12919
567,780,35941,12750,16078,13231
568,780,37392,11459,15675,13474
569,780,39797,9941,14852,13410
570,780,42146,8740,13450,13664
571,780,43420,7950,13752,12878
572,780,43425,8023,13790,12762
573,780,45837,6835,12622,12706
574,780,45903,6769,12668,12660
575,780,46398,6596,12539,12467
576,780,46382,6747,12332,12539
577,780,46474,6703,12432,12391
578,780,46497,6613,12426,12464
579,780,46744,6617,12432,12207
580,780,46840,6539,12336,12285
581,780,46720,6432,12388,12460
582,780,46694,6464,12450,12392
583,780,43854,7667,12818,13661
584,780,44829,7045,12633,13493
585,780,44915,7123,12655,13307
586,780,44590,7210,12689,13511
587,780,44694,7068,12670,13568
588,780,43558,7840,13092,13510
589,780,43600,8001,12949,13450
590,780,43481,7967,13124,13428
591,780,43472,7981,13057,13490
592,780,45687,6915,11417,13981
593,780,46089,6871,11097,13943
594,780,45751,6783,11384,14082
595,780,45684,6810,11513,13993
596,780,45966,6908,11269,13857
597,780,46007,6968,11240,13785
598,780,47118,6072,11743,13067
599,780,47074,5809,11897,13220
600,780,47252,5984,11670,13094
601,780,47152,5950,11790,13108
602,780,47196,5953,11671,13180
603,780,47018,5963,11748,13271
604,780,48009,5451,11579,12961
605,780,47619,5426,11699,13256
606,780,48946,4858,11684,12512
607,780,49158,4822,11684,12336
608,780,49170,4848,11708,12274
609,780,49006,4720,11795,12479
610,780,50140,4212,11154,12494
611,780,50184,4082,11104,12630
612,780,50301,4321,11027,12351
613,780,49977,4198,11164,12661
614,780,50310,4075,11064,12551
615,780,51537,3562,11017,11884
616,780,51743,3669,10867,11721
617,780,52065,3245,11058,11632
618,780,54677,2575,9233,11515
619,780,57395,1826,9344,9435
620,780,57340,1966,9251,9443
621,780,57201,1924,9351,9524
622,780,57380,1976,9269,9375
623,780,57239,1970,9373,9418
624,780,57660,1798,9172,9370
625,780,57600,1755,9173,9472
626,780,57669,1732,9235,9364
627,780,56467,2042,9328,10163
