round,seed,population_seed,strategy,count,percentage
76,990,721,exploitation,27890,0.36
77,990,721,coop,40288,0.52
77,990,721,defect,9904,0.13
77,990,721,exploitation,27808,0.36
78,990,721,coop,40221,0.52
78,990,721,defect,10346,0.13
78,990,721,exploitation,27433,0.35
79,990,721,coop,40154,0.51
79,990,721,defect,10302,0.13
79,990,721,exploitation,27544,0.35
80,990,721,coop,37637,0.48
80,990,721,defect,11918,0.15
80,990,721,exploitation,28445,0.36
81,990,721,coop,37236,0.48
81,990,721,defect,12239,0.16
81,990,721,exploitation,28525,0.37
82,990,721,coop,35071,0.45
82,990,721,defect,13756,0.18
82,990,721,exploitation,29173,0.37
83,990,721,coop,32714,0.42
83,990,721,defect,15383,0.2
83,990,721,exploitation,29903,0.38
84,990,721,coop,32415,0.42
84,990,721,defect,15990,0.2
84,990,721,exploitation,29595,0.38
85,990,721,coop,32833,0.42
85,990,721,defect,15614,0.2
85,990,721,exploitation,29553,0.38
86,990,721,coop,30492,0.39
86,990,721,defect,17171,0.22
86,990,721,exploitation,30337,0.39
87,990,721,coop,30689,0.39
87,990,721,defect,17244,0.22
87,990,721,exploitation,30067,0.39
88,990,721,coop,30097,0.39
88,990,721,defect,17608,0.23
88,990,721,exploitation,30295,0.39
89,990,721,coop,28448,0.36
89,990,721,defect,19079,0.24
89,990,721,exploitation,30473,0.39
90,990,721,coop,27542,0.35
90,990,721,defect,20087,0.26
90,990,721,exploitation,30371,0.39
91,990,721,coop,26134,0.34
91,990,721,defect,21316,0.27
91,990,721,exploitation,30550,0.39
92,990,721,coop,25823,0.33
92,990,721,defect,21636,0.28
92,990,721,exploitation,30541,0.39
93,990,721,coop,24505,0.31
93,990,721,defect,22382,0.29
93,990,721,exploitation,31113,0.4
94,990,721,coop,26485,0.34
94,990,721,defect,20707,0.27
94,990,721,exploitation,30808,0.39
95,990,721,coop,27016,0.35
95,990,721,defect,20013,0.26
95,990,721,exploitation,30971,0.4
96,990,721,coop,27092,0.35
96,990,721,defect,19622,0.25
96,990,721,exploitation,31286,0.4
97,990,721,coop,27683,0.35
97,990,721,defect,18702,0.24
97,990,721,exploitation,31615,0.41
98,990,721,coop,29303,0.38
98,990,721,defect,17280,0.22
98,990,721,exploitation,31417,0.4
99,990,721,coop,27459,0.35
99,990,721,defect,19263,0.25
99,990,721,exploitation,31278,0.4
100,990,721,coop,26944,0.35
100,990,721,defect,19754,0.25
100,990,721,exploitation,31302,0.4
101,990,721,coop,29086,0.37
101,990,721,defect,18234,0.23
101,990,721,exploitation,30680,0.39
102,990,721,coop,30835,0.4
102,990,721,defect,16732,0.21
102,990,721,exploitation,30433,0.39
103,990,721,coop,29418,0.38
103,990,721,defect,17283,0.22
103,990,721,exploitation,31299,0.4
104,990,721,coop,30787,0.39
104,990,721,defect,16781,0.22
104,990,721,exploitation,30432,0.39
105,990,721,coop,30319,0.39
105,990,721,defect,17511,0.22
105,990,721,exploitation,30170,0.39
106,990,721,coop,28003,0.36
106,990,721,defect,19483,0.25
106,990,721,exploitation,30514,0.39
107,990,721,coop,28597,0.37
107,990,721,defect,18346,0.24
107,990,721,exploitation,31057,0.4
108,990,721,coop,30931,0.4
108,990,721,defect,16463,0.21
108,990,721,exploitation,30606,0.39
109,990,721,coop,31208,0.4
109,990,721,defect,15846,0.2
109,990,721,exploitation,30946,0.4
110,990,721,coop,33690,0.43
110,990,721,defect,14135,0.18
110,990,721,exploitation,30175,0.39
111,990,721,coop,33533,0.43
111,990,721,defect,14662,0.19
111,990,721,exploitation,29805,0.38
112,990,721,coop,32880,0.42
112,990,721,defect,15174,0.19
112,990,721,exploitation,29946,0.38
113,990,721,coop,32471,0.42
113,990,721,defect,15614,0.2
113,990,721,exploitation,29915,0.38
114,990,721,coop,30485,0.39
114,990,721,defect,17259,0.22
114,990,721,exploitation,30256,0.39
115,990,721,coop,28257,0.36
115,990,721,defect,19198,0.25
115,990,721,exploitation,30545,0.39
116,990,721,coop,26159,0.34
116,990,721,defect,21169,0.27
116,990,721,exploitation,30672,0.39
117,990,721,coop,28035,0.36
117,990,721,defect,19758,0.25
117,990,721,exploitation,30207,0.39
118,990,721,coop,27986,0.36
118,990,721,defect,19771,0.25
118,990,721,exploitation,30243,0.39
119,990,721,coop,27961,0.36
119,990,721,defect,19920,0.26
119,990,721,exploitation,30119,0.39
120,990,721,coop,27715,0.36
120,990,721,defect,20072,0.26
120,990,721,exploitation,30213,0.39
121,990,721,coop,29809,0.38
121,990,721,defect,18465,0.24
121,990,721,exploitation,29726,0.38
122,990,721,coop,29664,0.38
122,990,721,defect,18672,0.24
122,990,721,exploitation,29664,0.38
123,990,721,coop,28801,0.37
123,990,721,defect,19471,0.25
123,990,721,exploitation,29728,0.38
124,990,721,coop,29179,0.37
124,990,721,defect,19118,0.25
124,990,721,exploitation,29703,0.38
125,990,721,coop,28646,0.37
125,990,721,defect,19812,0.25
125,990,721,exploitation,29542,0.38
126,990,721,coop,28707,0.37
126,990,721,defect,19413,0.25
126,990,721,exploitation,29880,0.38
127,990,721,coop,27096,0.35
127,990,721,defect,20862,0.27
127,990,721,exploitation,30042,0.39
128,990,721,coop,28044,0.36
128,990,721,defect,19709,0.25
128,990,721,exploitation,30247,0.39
129,990,721,coop,28114,0.36
129,990,721,defect,19671,0.25
129,990,721,exploitation,30215,0.39
130,990,721,coop,29385,0.38
130,990,721,defect,19008,0.24
130,990,721,exploitation,29607,0.38
131,990,721,coop,28929,0.37
131,990,721,defect,19227,0.25
131,990,721,exploitation,29844,0.38
132,990,721,coop,30892,0.4
132,990,721,defect,17947,0.23
132,990,721,exploitation,29161,0.37
133,990,721,coop,30999,0.4
133,990,721,defect,17759,0.23
133,990,721,exploitation,29242,0.37
134,990,721,coop,32752,0.42
134,990,721,defect,15912,0.2
134,990,721,exploitation,29336,0.38
135,990,721,coop,31180,0.4
