round,seed,defect,exploit_,exploit,coop
346,179,20280,14188,14940,28592
347,179,20195,14343,15071,28391
348,179,20641,14346,15433,27580
349,179,21277,14511,14996,27216
350,179,20738,14608,14998,27656
351,179,20290,14380,14934,28396
352,179,20534,14351,14697,28418
353,179,20028,14522,14996,28454
354,179,20615,14240,14697,28448
355,179,20904,14367,15075,27654
356,179,21598,14493,15450,26459
357,179,20635,13865,15333,28167
358,179,23154,14078,15091,25677
359,179,22782,14385,15335,25498
360,179,23711,14075,14894,25320
361,179,21265,14088,15269,27378
362,179,21196,14130,15271,27403
363,179,21428,13959,15250,27363
364,179,22150,13876,15767,26207
365,179,21353,13935,15347,27365
366,179,21942,13854,15367,26837
367,179,21367,14052,15172,27409
368,179,21382,14046,15164,27408
369,179,20208,13624,15431,28737
370,179,20680,13576,15404,28340
371,179,20510,13691,15503,28296
372,179,20204,13711,15526,28559
373,179,20495,13755,15459,28291
374,179,19716,13208,15824,29252
375,179,20525,13510,15820,28145
376,179,20178,13371,15683,28768
377,179,22054,13254,15683,27009
378,179,22917,13091,15867,26125
379,179,22712,13045,16029,26214
380,179,22907,13099,16198,25796
381,179,22801,12882,15969,26348
382,179,21812,13137,15791,27260
383,179,19840,12632,16192,29336
384,179,20522,13045,15836,28597
385,179,18757,13635,15033,30575
386,179,19285,13789,15063,29863
387,179,18595,13766,15138,30501
388,179,18642,13585,15077,30696
389,179,18323,13765,15130,30782
390,179,18896,13811,15120,30173
391,179,18372,13518,15045,31065
392,179,17565,13462,15176,31797
393,179,18166,13497,14987,31350
394,179,18736,13863,14904,30497
395,179,17875,13741,14434,31950
396,179,17196,13551,14603,32650
397,179,17685,14097,14580,31638
398,179,17737,14000,14405,31858
399,179,19047,13668,15275,30010
400,179,17108,13592,15209,32091
401,179,17392,13331,14749,32528
402,179,16689,13509,14579,33223
403,179,16552,13622,14660,33166
404,179,15414,13568,14426,34592
405,179,16705,13867,14381,33047
406,179,16773,13831,14319,33077
407,179,17377,13993,14418,32212
408,179,18652,14265,14141,30942
409,179,18298,14468,14374,30860
410,179,18383,14460,14478,30679
411,179,19278,14423,14466,29833
412,179,20342,14810,14054,28794
413,179,19448,14455,14640,29457
414,179,19077,14147,14659,30117
415,179,19639,14105,14758,29498
416,179,17537,14133,14229,32101
417,179,18916,15051,13997,30036
418,179,19040,14950,13924,30086
419,179,19097,14928,13848,30127
