round,seed,coop,exploit,exploit_,defect
466,8,21965,15215,13637,27183
467,8,21848,15398,13191,27563
468,8,21822,15235,13357,27586
469,8,22004,15304,13203,27489
470,8,21772,15332,13311,27585
471,8,21826,15415,13381,27378
472,8,21725,15318,13314,27643
473,8,21942,15311,13254,27493
474,8,21620,15341,13344,27695
475,8,21781,15503,13343,27373
476,8,20742,15406,13314,28538
477,8,22286,14981,13656,27077
478,8,23976,14753,13842,25429
479,8,25757,14684,14272,23287
480,8,27514,14829,14306,21351
481,8,28192,14483,14257,21068
482,8,28175,14627,14344,20854
483,8,27682,14628,14277,21413
484,8,27758,14652,14376,21214
485,8,27855,14568,14335,21242
486,8,25901,14150,14912,23037
487,8,27268,14481,14572,21679
488,8,27707,14403,14338,21552
489,8,27537,14543,14524,21396
490,8,27248,14485,14276,21991
491,8,27240,14571,14246,21943
492,8,27651,14296,14337,21716
493,8,26989,14452,14395,22164
494,8,27015,14536,14452,21997
495,8,28781,14333,14693,20193
496,8,27240,13729,15191,21840
497,8,27039,13727,15055,22179
498,8,26844,13756,15136,22264
499,8,26784,13726,15039,22451
500,8,27247,13798,15143,21812
501,8,28881,13503,15630,19986
502,8,28460,13201,15671,20668
503,8,30137,13553,15837,18473
504,8,29409,13670,15821,19100
505,8,29439,13515,15622,19424
506,8,29310,13527,15798,19365
507,8,28642,13635,15776,19947
508,8,29646,13689,15591,19074
509,8,30045,13820,15433,18702
510,8,31138,13518,15298,18046
511,8,30582,13532,15430,18456
512,8,32056,13385,15031,17528
513,8,33013,13400,15200,16387
514,8,32796,13297,15123,16784
515,8,30180,13101,15823,18896
516,8,28759,12699,16143,20399
517,8,30219,12800,15721,19260
518,8,29328,13005,15891,19776
519,8,28233,13263,15802,20702
520,8,28810,13144,15662,20384
521,8,28368,13158,15947,20527
522,8,26667,13177,15739,22417
523,8,26028,13467,15894,22611
524,8,25939,13362,15795,22904
525,8,25693,13453,15480,23374
526,8,25916,13528,15628,22928
527,8,27412,13403,15766,21419
528,8,29280,13240,15804,19676
529,8,28949,13392,16101,19558
530,8,30205,12961,15879,18955
531,8,28877,12624,16351,20148
532,8,31217,12760,16273,17750
533,8,32104,12490,16169,17237
534,8,31742,12385,16245,17628
535,8,29801,11812,16896,19491
536,8,28307,11421,17543,20729
537,8,28229,11370,17455,20946
538,8,27889,11499,17436,21176
539,8,26561,11707,17152,22580
540,8,27474,11643,17387,21496
541,8,29285,12169,16747,19799
542,8,30127,11958,16933,18982
543,8,29550,12111,16794,19545
544,8,29190,12102,16720,19988
545,8,27872,12291,16754,21083
546,8,28006,12189,16796,21009
547,8,28002,12256,16828,20914
548,8,27400,12384,16678,21538
549,8,29452,12129,16642,19777
550,8,27062,12064,16862,22012
551,8,26774,11951,16943,22332
552,8,26680,11937,16909,22474
553,8,28563,12446,16443,20548
554,8,28072,12347,16673,20908
555,8,28200,12415,16476,20909
556,8,27910,12293,16541,21256
557,8,29442,12968,15989,19601
558,8,28872,13059,15835,20234
559,8,29585,12863,15576,19976
560,8,31248,12604,16262,17886
561,8,29656,13104,15677,19563
562,8,29432,13242,16023,19303
563,8,28728,13055,15541,20676
564,8,27500,13531,15223,21746
565,8,25633,13076,15798,23493
566,8,25223,13382,15780,23615
567,8,23298,13628,15690,25384
568,8,23575,13457,15644,25324
569,8,23879,13552,15738,24831
570,8,25704,12882,15858,23556
571,8,25685,13060,16028,23227
572,8,24570,13258,15878,24294
573,8,23198,13619,15420,25763
574,8,21286,13525,15306,27883
575,8,21493,13440,15276,27791
576,8,19917,12565,16073,29445
577,8,21211,12512,16513,27764
578,8,22531,12907,16127,26435
579,8,21083,12723,15993,28201
580,8,21157,12920,15961,27962
581,8,21461,12789,15833,27917
582,8,21374,12970,15915,27741
583,8,21004,12760,15847,28389
584,8,20378,12675,15958,28989
585,8,21430,13169,15893,27508
586,8,20381,13465,15419,28735
587,8,20304,13373,15459,28864
588,8,20761,13128,15418,28693
589,8,20547,13373,15520,28560
590,8,20093,13371,15401,29135
591,8,18414,13488,15124,30974
592,8,20659,13284,15342,28715
593,8,19717,13152,15449,29682
594,8,19896,13052,15955,29097
595,8,19864,13106,16012,29018
596,8,19886,12865,16067,29182
597,8,21921,14082,15069,26928
598,8,20781,14087,15568,27564
599,8,20594,14102,15683,27621
600,8,19398,13895,15541,29166
601,8,20702,14114,15462,27722
602,8,22289,14317,15125,26269
603,8,22421,14318,15171,26090
604,8,22203,14437,15103,26257
605,8,22282,14355,15088,26275
606,8,22436,14497,15205,25862
607,8,24592,15488,14303,23617
608,8,25410,15310,14688,22592
609,8,25300,15498,14569,22633
610,8,24311,15660,14124,23905
611,8,22959,15842,13838,25361
612,8,22906,15992,14041,25061
613,8,22250,15364,14035,26351
614,8,22211,15336,14181,26272
615,8,24124,14894,14673,24309
616,8,22921,15468,14510,25101
617,8,23580,15372,14792,24256
618,8,21774,15973,14369,25884
619,8,21298,16067,14164,26471
620,8,21046,15649,14324,26981
621,8,21011,15838,14094,27057
622,8,21211,15682,14144,26963
623,8,21159,15766,14051,27024
624,8,21090,15691,14167,27052
625,8,23164,16187,13890,24759
626,8,23150,16141,13667,25042
627,8,25098,15901,14140,22861
628,8,26609,15733,14034,21624
629,8,24853,16078,13998,23071
630,8,24923,16152,14169,22756
631,8,25152,16180,14023,22645
632,8,26580,15364,14507,21549
633,8,26982,15587,14334,21097
634,8,27065,15563,14262,21110
635,8,27721,15800,14307,20172
636,8,29536,15733,14000,18731
637,8,29664,15821,13972,18543
638,8,29627,15796,13987,18590
639,8,29285,15542,14018,19155
640,8,29038,15453,14126,19383
641,8,28654,15593,13823,19930
642,8,29141,15462,13777,19620
643,8,28617,15689,13960,19734
644,8,26422,15503,14188,21887
645,8,28343,14500,14611,20546
646,8,28160,14539,14707,20594
647,8,27930,14798,14894,20378
648,8,29749,14098,14788,19365
649,8,31464,13501,15369,17666
650,8,31553,13294,15210,17943
651,8,30589,13736,15224,18451
652,8,32768,13782,14704,16746
653,8,31798,13942,14995,17265
654,8,32288,13952,14716,17044
655,8,32245,13979,14810,16966
656,8,30041,13046,15753,19160
657,8,29873,13048,15625,19454
