round,seed,exploit,defect,exploit_,coop
295,612,15071,8690,10904,43335
296,612,15444,10202,11188,41166
297,612,14465,9234,11389,42912
298,612,14729,8589,11109,43573
299,612,14820,8615,11275,43290
300,612,14727,10343,11842,41088
301,612,14695,8965,11396,42944
302,612,14250,10312,12662,40776
303,612,14278,10261,12450,41011
304,612,14485,10532,12517,40466
305,612,14535,10752,12568,40145
306,612,13265,9314,12909,42512
307,612,13232,9709,12977,42082
308,612,13346,9706,13195,41753
309,612,13533,10443,12957,41067
310,612,13248,9696,13123,41933
311,612,13282,9897,13168,41653
312,612,13372,9987,13183,41458
313,612,13392,10398,13236,40974
314,612,13261,10442,13069,41228
315,612,14232,11843,12853,39072
316,612,13834,9937,12894,41335
317,612,13783,10416,12686,41115
318,612,13859,10540,12852,40749
319,612,13603,11945,13498,38954
320,612,13861,12368,13587,38184
321,612,14404,13767,13241,36588
322,612,15310,14942,12945,34803
323,612,15336,15020,12853,34791
324,612,15518,14791,12533,35158
325,612,15731,14497,12663,35109
326,612,15334,13911,12957,35798
327,612,15365,14165,13021,35449
328,612,15609,13507,12671,36213
329,612,15781,12907,12708,36604
330,612,16161,14263,12977,34599
331,612,16209,13990,12674,35127
332,612,16373,14915,13529,33183
333,612,15866,15616,13740,32778
334,612,16047,15365,13633,32955
335,612,15862,15076,13863,33199
336,612,15659,15637,14180,32524
337,612,15459,15878,14040,32623
338,612,14624,14802,14501,34073
339,612,14617,15114,14163,34106
340,612,14560,15567,14409,33464
341,612,14354,15406,14169,34071
342,612,14795,17301,14368,31536
343,612,14845,17587,14254,31314
344,612,14759,19721,14581,28939
345,612,15225,17703,14073,30999
346,612,15001,17634,13911,31454
347,612,15193,17719,13959,31129
348,612,15427,15946,13205,33422
349,612,14836,14035,13583,35546
350,612,14815,14209,13342,35634
351,612,14361,12834,13341,37464
352,612,14436,14104,13609,35851
353,612,14447,13685,13867,36001
354,612,13942,15152,15057,33849
355,612,13958,15352,14869,33821
356,612,13948,14902,14913,34237
357,612,13860,14994,14838,34308
358,612,13408,16136,15978,32478
359,612,12639,14844,16415,34102
360,612,12512,14862,16483,34143
361,612,12605,14860,16360,34175
362,612,12537,16131,17075,32257
363,612,12590,16215,17245,31950
364,612,12137,15725,17347,32791
365,612,12140,15687,17336,32837
366,612,12146,15869,17287,32698
367,612,12220,15920,17309,32551
368,612,11978,15163,17788,33071
369,612,12168,14417,16554,34861
370,612,12335,14280,16736,34649
371,612,13249,15912,16247,32592
372,612,12442,15112,16547,33899
373,612,12388,14972,16660,33980
374,612,12081,16973,17153,31793
375,612,12035,16956,17055,31954
376,612,12918,18584,16843,29655
377,612,12934,17370,16057,31639
378,612,12347,19235,17437,28981
379,612,12138,19238,17529,29095
380,612,12176,19304,17427,29093
381,612,12175,19550,17363,28912
382,612,12730,18217,16688,30365
383,612,12831,17354,16272,31543
384,612,12875,17072,16440,31613
385,612,13959,18366,15848,29827
386,612,13784,18338,15989,29889
387,612,14324,20253,15399,28024
388,612,14463,20287,15560,27690
389,612,14260,22138,15804,25798
390,612,14219,20717,15551,27513
391,612,14248,18687,15517,29548
392,612,13753,18685,15533,30029
393,612,14655,17293,14673,31379
394,612,14364,16928,14758,31950
395,612,13738,15647,15034,33581
396,612,13737,13730,14360,36173
397,612,13818,13070,14489,36623
398,612,13773,13389,14380,36458
399,612,14005,13399,14704,35892
400,612,13964,13265,14562,36209
401,612,13615,12375,14039,37971
402,612,13602,11950,13886,38562
403,612,13639,11571,13932,38858
404,612,13531,11221,14015,39233
405,612,13613,10783,13881,39723
406,612,13678,10870,14019,39433
407,612,13655,11155,14070,39120
408,612,13627,11300,14026,39047
409,612,13526,11133,14071,39270
410,612,12304,10028,14343,41325
411,612,12471,9975,14405,41149
412,612,12291,9629,14339,41741
413,612,12027,11302,15255,39416
414,612,13365,12807,14908,36920
415,612,13295,12828,14854,37023
416,612,13368,12734,14912,36986
417,612,13301,13177,15075,36447
418,612,13071,14754,15811,34364
419,612,13006,14838,15793,34363
420,612,12898,16518,16243,32341
421,612,13618,17542,16674,30166
422,612,13624,17438,16232,30706
423,612,13856,15714,15668,32762
424,612,13786,16632,16367,31215
425,612,13633,17272,16545,30550
426,612,13584,15907,15863,32646
427,612,15008,17510,15099,30383
428,612,15054,18079,14740,30127
429,612,15816,19630,14095,28459
430,612,14639,17534,15000,30827
431,612,14771,17688,15228,30313
432,612,14688,18086,15156,30070
433,612,13477,16468,15980,32075
434,612,13551,16909,15536,32004
435,612,14359,15079,14350,34212
436,612,15409,16329,13923,32339
437,612,15376,16395,13776,32453
438,612,15439,16360,13892,32309
439,612,15419,16583,13885,32113
440,612,16332,17701,13412,30555
441,612,15967,18181,13819,30033
442,612,15959,18139,13917,29985
443,612,15896,18147,13815,30142
444,612,15948,18099,13700,30253
445,612,15922,18249,13692,30137
446,612,16598,19734,13434,28234
447,612,17112,20815,13571,26502
448,612,16739,22375,13872,25014
449,612,17480,20270,13176,27074
450,612,17786,18859,12573,28782
451,612,17027,17854,12838,30281
452,612,16522,19000,12995,29483
453,612,15892,17829,13008,31271
454,612,15371,16523,13283,32823
455,612,15461,17426,13298,31815
456,612,15480,17307,13343,31870
457,612,15361,17398,13428,31813
458,612,15649,16673,13303,32375
459,612,15284,16838,13172,32706
460,612,15710,17443,13040,31807
461,612,15622,17649,12974,31755
462,612,15489,18110,13076,31325
463,612,15225,16235,13339,33201
464,612,14688,16858,13433,33021
465,612,15400,15200,12491,34909
466,612,15500,14938,12579,34983
467,612,15161,13814,12898,36127
468,612,15089,13606,12639,36666
469,612,15186,15595,12718,34501
470,612,15197,14984,12688,35131
471,612,15079,13513,12592,36816
472,612,14963,13596,12529,36912
