round,seed,defect,coop,exploit_,exploit
573,385,27144,22170,14386,14300
574,385,28441,21118,13860,14581
575,385,28717,20584,13974,14725
576,385,26913,22317,14501,14269
577,385,25275,23680,15090,13955
578,385,23931,25135,14838,14096
579,385,23928,25206,14850,14016
580,385,24602,24842,14661,13895
581,385,26255,23284,14115,14346
582,385,25961,23733,13914,14392
583,385,26095,23477,14152,14276
584,385,27728,21767,14664,13841
585,385,27810,21865,14456,13869
586,385,26010,23522,15272,13196
587,385,26083,23691,14911,13315
588,385,26106,23371,15161,13362
589,385,25841,23437,15288,13434
590,385,26063,23423,15219,13295
591,385,26085,23311,15253,13351
592,385,25959,23360,15160,13521
593,385,25955,23310,15264,13471
594,385,24706,25097,15134,13063
595,385,22897,26543,15395,13165
596,385,22946,26632,15311,13111
597,385,22989,26508,15378,13125
598,385,22693,26836,15555,12916
599,385,21068,28214,16302,12416
600,385,21127,28243,16125,12505
601,385,20778,28437,16234,12551
602,385,21240,28360,16096,12304
603,385,21214,28469,16007,12310
604,385,21046,28464,16107,12383
605,385,19471,30297,15482,12750
606,385,19515,29911,15697,12877
607,385,21145,28207,15577,13071
608,385,21155,28130,15609,13106
609,385,19453,30241,14847,13459
610,385,19507,30314,14729,13450
611,385,19577,29804,15056,13563
612,385,19228,30302,15110,13360
613,385,19360,30122,14963,13555
614,385,19481,30027,15016,13476
615,385,21102,28236,15463,13199
616,385,19372,30069,15771,12788
617,385,19445,29767,15840,12948
618,385,19366,30197,15640,12797
619,385,21340,28143,15054,13463
620,385,22846,26471,15462,13221
621,385,24588,24561,15902,12949
622,385,24339,25067,15770,12824
623,385,23761,25262,16192,12785
624,385,23862,25432,16072,12634
625,385,25522,23827,16650,12001
626,385,26216,23154,16432,12198
627,385,26085,23558,16201,12156
628,385,27698,21834,15572,12896
629,385,26619,22759,15454,13168
630,385,24931,24806,15912,12351
631,385,24645,24515,16265,12575
632,385,24693,24586,16083,12638
633,385,26471,22873,15420,13236
634,385,26364,23040,15497,13099
635,385,24658,24912,15248,13182
636,385,26259,22790,15410,13541
637,385,26534,23544,14920,13002
638,385,26384,23186,15283,13147
639,385,26593,23041,15094,13272
640,385,26808,22678,15234,13280
641,385,26808,22917,15281,12994
642,385,26772,22569,15322,13337
643,385,28064,21614,15225,13097
644,385,26824,22966,15524,12686
645,385,26831,22709,15662,12798
646,385,26791,22794,15549,12866
647,385,25041,24271,15253,13435
648,385,26839,22661,14854,13646
649,385,28308,21389,14346,13957
650,385,28369,21376,14234,14021
651,385,29807,19843,14013,14337
652,385,27341,22369,14508,13782
653,385,24998,24053,13963,14986
654,385,25404,23822,13978,14796
655,385,25030,23867,14131,14972
656,385,25131,23771,14090,15008
657,385,26784,21993,14223,15000
658,385,26649,22142,14011,15198
659,385,26579,22467,14024,14930
660,385,26888,22253,13960,14899
661,385,28294,20782,13458,15466
662,385,28127,21069,13301,15503
663,385,28342,21001,13315,15342
664,385,28318,20596,13498,15588
665,385,28310,20627,13528,15535
666,385,26830,22278,13853,15039
667,385,26665,22249,14056,15030
668,385,26763,22577,13808,14852
669,385,28116,20918,13362,15604
670,385,28149,20810,13477,15564
671,385,29475,19530,13499,15496
672,385,29736,19438,13458,15368
673,385,31422,17931,13060,15587
674,385,31757,17603,13312,15328
675,385,31106,17877,13755,15262
676,385,32219,17671,12841,15269
677,385,32186,17363,12963,15488
678,385,33817,15969,12879,15335
679,385,33558,16108,12896,15438
680,385,35136,14834,13248,14782
681,385,35181,14987,13187,14645
682,385,35875,14366,13291,14468
683,385,35891,14478,13188,14443
684,385,37177,13334,13440,14049
685,385,37734,12976,13273,14017
686,385,38654,12385,13143,13818
687,385,38604,12367,13182,13847
688,385,37753,12712,13720,13815
689,385,39040,11397,14367,13196
690,385,39073,11457,14374,13096
691,385,40240,10497,13636,13627
692,385,39649,10959,13557,13835
693,385,40211,10839,13512,13438
694,385,41893,9571,12851,13685
695,385,41706,9544,13061,13689
696,385,41855,9448,12951,13746
697,385,40549,10336,13782,13333
698,385,41122,10178,13721,12979
699,385,42164,9839,13071,12926
700,385,40881,10849,13753,12517
701,385,40610,10835,13949,12606
702,385,40584,10949,13830,12637
703,385,41616,10048,14012,12324
704,385,40700,10874,13889,12537
705,385,39812,11649,14158,12381
706,385,40106,11357,14235,12302
707,385,38769,12556,14368,12307
708,385,38655,12633,14389,12323
709,385,38981,12487,14303,12229
710,385,38282,12733,14492,12493
711,385,38039,12878,14491,12592
712,385,39631,11802,14398,12169
713,385,41326,10502,14433,11739
714,385,42125,10083,14512,11280
715,385,42241,9912,14494,11353
716,385,44526,8599,15012,9863
717,385,44751,8428,15087,9734
718,385,44614,8421,15089,9876
719,385,45935,7583,14208,10274
720,385,46254,7442,14174,10130
721,385,46038,7632,14146,10184
722,385,44376,8553,13864,11207
723,385,43179,9545,14194,11082
724,385,42150,10321,14151,11378
725,385,42300,9954,14369,11377
