round,seed,exploit,coop,defect,exploit_
531,4,13060,13334,37383,14223
532,4,12761,14758,35555,14926
533,4,12994,13748,37132,14126
534,4,13576,12496,38522,13406
535,4,13524,12311,38531,13634
536,4,14079,13388,37144,13389
537,4,14162,13378,36901,13559
538,4,14142,13568,36897,13393
539,4,13810,12439,38779,12972
540,4,13384,11188,40148,13280
541,4,13280,11176,40240,13304
542,4,13558,11279,39734,13429
543,4,13507,11335,39843,13315
544,4,14066,12324,38583,13027
545,4,13921,12556,38604,12919
546,4,13675,11321,39798,13206
547,4,13420,11464,40245,12871
548,4,13937,10085,41405,12573
549,4,14751,11519,39770,11960
550,4,14509,10290,41379,11822
551,4,15322,11219,39936,11523
552,4,15100,10222,41354,11324
553,4,14589,10024,41933,11454
554,4,14489,9871,42138,11502
555,4,14079,11151,40722,12048
556,4,13820,10856,41038,12286
557,4,13821,10786,41128,12265
558,4,13711,10903,41114,12272
559,4,13937,11632,40153,12278
560,4,13761,10761,41103,12375
561,4,13479,12371,38712,13438
562,4,13650,13099,37578,13673
563,4,13809,13110,37524,13557
564,4,13603,12254,38591,13552
565,4,13989,12506,37891,13614
566,4,14483,13648,36427,13442
567,4,14236,12022,38449,13293
568,4,13521,11285,39670,13524
569,4,13453,10082,41353,13112
570,4,13515,10807,40135,13543
571,4,14214,12273,38369,13144
572,4,13986,12041,38951,13022
573,4,14080,11350,39654,12916
574,4,14180,10577,40542,12701
575,4,14273,10373,40405,12949
576,4,14200,10437,40475,12888
577,4,14108,11269,39745,12878
578,4,14200,10174,40864,12762
579,4,14056,10108,41123,12713
580,4,13591,9897,41747,12765
581,4,13740,9801,41821,12638
582,4,13656,9223,42428,12693
583,4,12282,7866,45088,12764
584,4,12287,8138,44928,12647
585,4,11670,7027,46385,12918
586,4,11706,7228,46205,12861
587,4,11631,6574,47078,12717
588,4,11749,7052,46588,12611
589,4,11975,7926,44968,13131
590,4,11927,7872,45127,13074
591,4,12298,9269,42182,14251
592,4,13491,10349,40012,14148
593,4,13276,11955,37653,15116
594,4,13331,11918,37702,15049
595,4,13338,11913,37615,15134
596,4,13474,10662,40028,13836
597,4,13690,10530,39886,13894
598,4,12519,9874,41804,13803
599,4,12273,9120,42579,14028
600,4,12351,8970,43088,13591
601,4,11904,7776,44535,13785
602,4,11519,6970,46876,12635
603,4,11306,7749,45492,13453
604,4,11097,7509,46034,13360
605,4,10295,6735,47538,13432
606,4,10411,7066,46921,13602
607,4,10385,7167,47078,13370
608,4,10267,6945,47738,13050
609,4,10569,5873,48953,12605
610,4,9680,5305,51105,11910
611,4,9507,4935,51652,11906
612,4,9507,4819,51746,11928
613,4,9573,4849,51782,11796
614,4,9624,5081,51499,11796
615,4,9534,4998,51547,11921
616,4,9195,3814,54456,10535
617,4,9195,3692,54585,10528
618,4,9375,3749,54508,10368
619,4,9195,3951,54406,10448
620,4,9340,3246,56068,9346
621,4,9392,3145,56015,9448
622,4,9399,2738,56620,9243
623,4,9379,3286,55352,9983
624,4,9366,2964,56013,9657
625,4,9381,2713,56613,9293
626,4,9461,2792,56440,9307
627,4,9332,2811,56468,9389
628,4,9374,2390,57127,9109
629,4,9167,2517,56948,9368
630,4,9322,2463,57077,9138
631,4,9112,2525,57203,9160
632,4,9166,2578,57123,9133
633,4,8312,1930,58544,9214
634,4,8264,1968,58514,9254
635,4,9397,2417,57038,9148
636,4,9296,2363,57185,9156
637,4,8967,2059,58009,8965
638,4,8926,2255,57839,8980
639,4,8968,2190,58013,8829
640,4,9042,2067,57958,8933
641,4,8932,2326,57750,8992
642,4,9111,2094,57806,8989
643,4,8918,2234,57969,8879
644,4,9168,2154,57824,8854
645,4,9094,2219,57727,8960
646,4,8994,2109,57881,9016
647,4,9162,2025,57811,9002
648,4,9621,2643,56457,9279
649,4,9453,2277,57175,9095
650,4,9545,3005,54457,10993
651,4,9445,3505,53627,11423
652,4,9411,3483,53859,11247
653,4,9243,3075,54328,11354
654,4,8950,2662,55532,10856
655,4,10117,3313,52921,11649
656,4,10022,3346,52868,11764
657,4,10069,3387,52804,11740
658,4,9902,3674,52507,11917
659,4,9953,3685,52377,11985
660,4,10015,4156,51781,12048
661,4,10156,4532,51124,12188
662,4,10002,4576,51189,12233
663,4,10165,4643,51322,11870
664,4,10034,4684,51207,12075
665,4,10174,4577,51052,12197
666,4,9929,4606,51180,12285
667,4,10184,4491,51169,12156
668,4,9911,4258,51788,12043
669,4,9903,4772,50710,12615
670,4,10005,4911,50397,12687
671,4,9942,4900,50524,12634
672,4,9324,4648,51209,12819
673,4,9453,4677,51215,12655
674,4,10191,5395,49773,12641
675,4,10295,5349,49767,12589
676,4,9474,4262,52346,11918
