round,seed,defect,exploit,exploit_,coop
352,711,32355,15727,13066,16852
353,711,29985,15834,13504,18677
354,711,29638,15782,13610,18970
355,711,29063,16238,13394,19305
356,711,28823,16308,13497,19372
357,711,27474,16460,13274,20792
358,711,29005,16669,12870,19456
359,711,29107,16590,12871,19432
360,711,29447,16594,12883,19076
361,711,28016,17202,12878,19904
362,711,26573,17813,12235,21379
363,711,26662,17651,12276,21411
364,711,27056,17561,12079,21304
365,711,26753,17629,12208,21410
366,711,26656,17786,12439,21119
367,711,25625,17160,12632,22583
368,711,24126,17120,13144,23610
369,711,24238,17156,13185,23421
370,711,24079,17225,13283,23413
371,711,26312,16260,14049,21379
372,711,27608,15975,14431,19986
373,711,29853,14636,15241,18270
374,711,29767,14507,15129,18597
375,711,29392,14811,15337,18460
376,711,29242,14767,15232,18759
377,711,29240,14774,15285,18701
378,711,28683,14965,15438,18914
379,711,29262,14802,15597,18339
380,711,27936,15140,14679,20245
381,711,26555,15886,14829,20730
382,711,27363,15901,14332,20404
383,711,28378,16029,14359,19234
384,711,27072,15681,14686,20561
385,711,24979,16693,13995,22333
386,711,27121,17200,12928,20751
387,711,26242,17317,13585,20856
388,711,24298,16450,14443,22809
389,711,24246,16523,14454,22777
390,711,22321,15738,15060,24881
391,711,23423,16085,15421,23071
392,711,24811,15307,15308,22574
393,711,22747,14973,15832,24448
394,711,21750,14337,16171,25742
395,711,21986,14255,16290,25469
396,711,21953,14100,16076,25871
397,711,20880,14070,15967,27083
398,711,19124,14722,15192,28962
399,711,18491,14427,15569,29513
400,711,17960,14745,15458,29837
401,711,15962,14007,15793,32238
402,711,14717,14289,14905,34089
403,711,15862,14421,14734,32983
404,711,17610,14008,15251,31131
405,711,18084,14250,15052,30614
406,711,17474,14407,15019,31100
407,711,17743,14450,14935,30872
408,711,16627,14307,14602,32464
409,711,17740,14012,14612,31636
410,711,17491,14386,14894,31229
411,711,18050,14309,14687,30954
412,711,17387,14113,14894,31606
413,711,17347,14061,14734,31858
414,711,16541,14637,14280,32542
415,711,15824,14750,14209,33217
416,711,16549,15217,13969,32265
417,711,17064,15097,13833,32006
418,711,15668,13982,14329,34021
419,711,14895,13644,14763,34698
420,711,14789,13732,14817,34662
421,711,14750,13701,14892,34657
422,711,15188,13542,15049,34221
423,711,14133,13379,14809,35679
424,711,12443,13764,13314,38479
425,711,11198,13247,13917,39638
426,711,11295,13033,13792,39880
427,711,9535,13357,12555,42553
428,711,9852,13277,12467,42404
429,711,8043,12562,12027,45368
430,711,9320,13323,12227,43130
431,711,8691,13466,11993,43850
432,711,8739,13331,11865,44065
433,711,7249,12841,11560,46350
434,711,7474,12572,11705,46249
435,711,7548,12710,11931,45811
436,711,7720,12933,11967,45380
437,711,7981,12711,12146,45162
438,711,6525,12270,11953,47252
439,711,7968,12084,13280,44668
440,711,9050,11876,13769,43305
441,711,9469,12339,13660,42532
442,711,9459,12269,13374,42898
443,711,9369,12412,13512,42707
444,711,9695,12238,13810,42257
445,711,10015,12314,13943,41728
446,711,9206,11954,13866,42974
447,711,10177,12286,13755,41782
448,711,11758,12696,13986,39560
449,711,13571,13093,14407,36929
450,711,14147,13738,14628,35487
451,711,14085,13644,14426,35845
452,711,15348,14119,14106,34427
453,711,15730,13965,14355,33950
454,711,17345,13490,15154,32011
455,711,17305,13490,15233,31972
456,711,19605,12956,16120,29319
457,711,19040,12763,16089,30108
458,711,19263,12731,16086,29920
459,711,20365,12836,16169,28630
460,711,19779,12864,16162,29195
461,711,18421,12424,16348,30807
462,711,18125,12407,16590,30878
463,711,17678,12100,16625,31597
464,711,17814,12265,16657,31264
465,711,17048,12171,16341,32440
466,711,15547,12677,15424,34352
467,711,15554,12547,15235,34664
468,711,15114,12780,15425,34681
469,711,14638,12587,15612,35163
470,711,12743,12462,14888,37907
471,711,13724,12433,15074,36769
472,711,12884,12170,15474,37472
473,711,13229,12090,15409,37272
474,711,12046,11992,15218,38744
475,711,12283,12020,15408,38289
476,711,11917,11628,15468,38987
477,711,11228,11301,15561,39910
478,711,10715,11211,15333,40741
479,711,11179,11686,15379,39756
480,711,10111,11625,14888,41376
481,711,9759,11320,14507,42414
482,711,10041,11766,14491,41702
483,711,9834,11687,14651,41828
484,711,8135,12031,13319,44515
485,711,6989,12419,12496,46096
486,711,7201,12280,12432,46087
487,711,5537,11660,12238,48565
488,711,5764,12222,12521,47493
489,711,5449,11883,11877,48791
490,711,5415,11932,12122,48531
491,711,5787,11866,12010,48337
492,711,5746,11845,12124,48285
493,711,6166,12440,12148,47246
494,711,5734,11949,11848,48469
495,711,7058,13021,11928,45993
496,711,7104,12719,12018,46159
497,711,6659,12751,11748,46842
498,711,6494,12680,11658,47168
499,711,6473,12673,11629,47225
500,711,6251,12637,11247,47865
501,711,6059,12354,11078,48509
502,711,6100,12657,11238,48005
503,711,6340,12676,11332,47652
504,711,6572,12683,11065,47680
505,711,6385,12945,11181,47489
506,711,4815,11438,11298,50449
507,711,4847,11509,11335,50309
508,711,4681,11777,11380,50162
509,711,4996,11564,11466,49974
510,711,4951,11475,11316,50258
511,711,4708,11458,11117,50717
