round,seed,defect,coop,exploit,exploit_
578,990,12215,38166,14181,13438
579,990,11739,38539,14265,13457
580,990,10909,39378,13897,13816
581,990,11791,38743,13846,13620
582,990,13446,36064,14202,14288
583,990,13236,36315,14199,14250
584,990,12485,36914,14275,14326
585,990,11991,37322,14336,14351
586,990,13469,35266,13415,15850
587,990,14178,34497,13201,16124
588,990,15782,32351,12331,17536
589,990,14846,33128,12652,17374
590,990,14961,32992,12639,17408
591,990,16481,30884,11973,18662
592,990,14805,33227,12876,17092
593,990,14721,33153,12994,17132
594,990,15511,31711,12909,17869
595,990,16457,30840,12701,18002
596,990,16138,30994,12842,18026
597,990,14421,33343,12084,18152
598,990,15153,32040,12311,18496
599,990,14531,33254,11604,18611
600,990,14565,33302,11631,18502
601,990,14378,33430,11644,18548
602,990,14395,33387,11595,18623
603,990,14736,33457,11510,18297
604,990,15146,32634,11781,18439
605,990,13813,34736,11457,17994
606,990,14316,34319,11641,17724
607,990,14250,34402,11581,17767
608,990,12657,36898,11571,16874
609,990,12586,36728,11632,17054
610,990,13393,35257,12149,17201
611,990,11988,37569,11752,16691
612,990,11893,37519,11957,16631
613,990,10510,39730,11421,16339
614,990,10431,40141,11251,16177
615,990,11145,39141,11379,16335
616,990,10917,39255,11441,16387
617,990,10502,39944,11142,16412
618,990,8995,42307,11544,15154
619,990,8407,43102,11536,14955
620,990,9145,42262,11623,14970
621,990,8372,44084,11872,13672
622,990,8327,43923,11877,13873
623,990,7016,46570,11177,13237
624,990,6960,46543,11249,13248
625,990,6512,47369,10946,13173
626,990,6839,46817,11017,13327
627,990,6517,47409,11124,12950
628,990,6376,47271,11137,13216
629,990,6045,47757,11156,13042
630,990,6503,47410,11080,13007
631,990,6592,47291,11156,12961
632,990,6541,47171,11219,13069
633,990,6527,46921,11435,13117
634,990,7049,46671,11539,12741
635,990,6667,46977,11469,12887
636,990,6583,47239,11447,12731
637,990,6989,46557,11609,12845
638,990,8027,44552,12533,12888
639,990,6658,46816,13218,11308
640,990,7949,44648,13822,11581
641,990,7462,45008,14093,11437
642,990,8003,44506,13836,11655
643,990,7874,44516,13985,11625
644,990,9383,42194,13446,12977
645,990,8099,44209,12414,13278
646,990,8350,44103,12394,13153
647,990,8388,43891,12522,13199
648,990,8458,43879,12374,13289
649,990,8910,43455,12327,13308
650,990,10578,40740,13650,13032
651,990,10716,40701,13637,12946
652,990,11151,39598,14004,13247
653,990,12658,37467,13736,14139
654,990,13889,35682,14019,14410
655,990,12452,37899,12969,14680
656,990,13210,36971,12852,14967
657,990,13220,37126,12761,14893
658,990,14275,35757,12819,15149
659,990,14772,35245,12831,15152
660,990,14782,34991,13004,15223
661,990,14917,35376,12668,15039
662,990,15049,35105,12824,15022
663,990,14128,36081,12766,15025
664,990,13229,37462,13054,14255
665,990,13807,36763,13065,14365
666,990,11978,38986,12101,14935
667,990,12737,38363,12147,14753
668,990,12469,38579,12240,14712
669,990,11323,39927,12011,14739
670,990,10608,41455,11558,14379
671,990,10541,41312,11603,14544
672,990,10786,41134,11648,14432
673,990,9950,42402,11279,14369
674,990,9979,42463,11337,14221
675,990,11068,40359,11637,14936
676,990,11026,40533,11525,14916
677,990,9485,42870,11231,14414
678,990,9828,42259,11381,14532
679,990,10188,42017,11501,14294
680,990,10031,42247,11326,14396
681,990,9299,43055,11410,14236
682,990,10484,41403,10891,15222
683,990,8742,43974,11196,14088
684,990,8771,44041,11182,14006
685,990,8074,45781,11425,12720
686,990,7721,45949,11239,13091
687,990,8287,45233,11459,13021
688,990,6753,47959,10596,12692
689,990,6407,48553,10489,12551
690,990,7190,47113,10950,12747
691,990,6306,48842,10587,12265
692,990,6172,48539,10771,12518
693,990,6207,48783,10620,12390
694,990,5077,50889,10817,11217
695,990,4902,51365,10887,10846
696,990,4880,51773,10586,10761
697,990,4984,51443,10689,10884
698,990,4649,51961,10578,10812
699,990,4906,51210,10743,11141
700,990,4968,51151,10768,11113
701,990,4906,51093,10775,11226
702,990,4589,52041,10478,10892
703,990,4457,52725,10342,10476
704,990,4191,52796,10302,10711
705,990,4143,53239,10049,10569
706,990,3919,53909,9878,10294
707,990,4157,53136,10364,10343
708,990,4147,53055,10330,10468
709,990,4710,52256,10490,10544
710,990,4616,51591,10910,10883
711,990,4046,53429,10023,10502
712,990,3792,54077,9806,10325
713,990,3613,53362,10431,10594
714,990,3813,53110,10534,10543
715,990,4093,53103,10395,10409
716,990,4161,52942,10294,10603
717,990,3534,54075,10031,10360
718,990,3841,53698,10048,10413
719,990,3907,53269,10337,10487
720,990,3872,53823,10267,10038
721,990,4195,52823,10532,10450
722,990,4410,52001,10821,10768
723,990,4103,53036,10559,10302
724,990,3504,53757,10407,10332
725,990,3323,54797,9975,9905
726,990,3427,54796,9899,9878
727,990,3393,55201,9783,9623
728,990,3260,54831,10007,9902
729,990,3086,55786,9799,9329
730,990,2826,56394,9688,9092
731,990,2595,56304,9830,9271
732,990,2669,56516,9644,9171
733,990,2461,57072,9467,9000
734,990,2410,57206,9563,8821
735,990,2638,57093,9479,8790
736,990,2216,58109,9355,8320
737,990,2271,57920,9309,8500
738,990,2066,57983,9426,8525
739,990,2061,58238,9275,8426
740,990,2130,57995,9405,8470
741,990,1887,58607,9262,8244
742,990,1967,58833,9078,8122
743,990,1548,59534,8876,8042
744,990,1425,60106,8713,7756
745,990,1549,59795,8745,7911
746,990,1412,60327,8362,7899
747,990,1575,59658,8884,7883
748,990,1634,60029,8614,7723
749,990,1563,59647,8905,7885
750,990,1766,59200,8987,8047
751,990,2094,58365,9193,8348
752,990,2139,57945,9472,8444
753,990,2302,58066,9387,8245
754,990,2380,57419,9492,8709
755,990,2468,56893,9878,8761
756,990,2735,56108,9874,9283
757,990,2796,56099,9991,9114
758,990,2838,56080,9891,9191
759,990,2866,56198,9767,9169
760,990,2851,55864,10053,9232
761,990,2569,56692,9834,8905
762,990,2201,57639,9422,8738
763,990,1948,57990,9502,8560
764,990,1985,58321,9318,8376
765,990,1780,58582,9136,8502
766,990,1880,58699,8974,8447
767,990,1497,59753,8672,8078
768,990,1722,59530,8588,8160
769,990,1661,59364,8704,8271
770,990,1888,58772,8915,8425
771,990,1835,58455,9027,8683
772,990,1680,58897,8866,8557
773,990,1743,58764,8941,8552
774,990,1939,58406,8917,8738
775,990,1881,58486,8782,8851
776,990,1829,58533,8904,8734
777,990,1886,58370,9007,8737
778,990,2132,58011,8931,8926
