round,seed,defect,exploit_,exploit,coop
360,130,33249,16180,16634,11937
361,130,34253,16425,16446,10876
362,130,36463,15129,16575,9833
363,130,35988,14584,16783,10645
364,130,34743,15443,16145,11669
365,130,34868,15247,16405,11480
366,130,33721,16361,16069,11849
367,130,33812,16251,16098,11839
368,130,31567,16165,17119,13149
369,130,31652,16161,17055,13132
370,130,33967,15053,17082,11898
371,130,35993,14688,16802,10517
372,130,36969,14224,17296,9511
373,130,39448,13115,16984,8453
374,130,39460,13114,16984,8442
375,130,40163,13813,16319,7705
376,130,39706,13667,16919,7708
377,130,39784,13697,16802,7717
378,130,42202,13286,15846,6666
379,130,42017,13258,15909,6816
380,130,42007,13226,16092,6675
381,130,42046,13445,15933,6576
382,130,42133,13143,15901,6823
383,130,44519,14085,13714,5682
384,130,44399,14037,13811,5753
385,130,43312,14181,14055,6452
386,130,43439,14170,14064,6327
387,130,41058,16203,13339,7400
388,130,40917,16176,13359,7548
389,130,38849,17721,12866,8564
390,130,38663,17937,12723,8677
391,130,38637,17788,13002,8573
392,130,36410,19802,12170,9618
393,130,34424,19565,13086,10925
394,130,34264,19799,13097,10840
395,130,33170,19652,13169,12009
396,130,33289,19673,13249,11789
397,130,32049,19177,13684,13090
398,130,34365,19137,12869,11629
399,130,32065,20013,13047,12875
400,130,34409,20086,11717,11788
401,130,33186,20153,11884,12777
402,130,33033,20138,12028,12801
403,130,35426,18516,12706,11352
404,130,35459,18622,12563,11356
405,130,35415,18377,12650,11558
406,130,35356,18505,12685,11454
407,130,37432,16839,13473,10256
408,130,37500,16912,13431,10157
409,130,37583,16804,13422,10191
410,130,39737,17581,11568,9114
411,130,37497,16708,13587,10208
412,130,36778,17118,13147,10957
413,130,35808,18079,13015,11098
414,130,35961,17958,12903,11178
415,130,35689,17876,13064,11371
416,130,33498,17264,14678,12560
417,130,33658,17056,14626,12660
418,130,35898,17162,13682,11258
419,130,35163,16907,13755,12175
420,130,35145,16979,13747,12129
421,130,34235,16597,13963,13205
422,130,35332,16127,14352,12189
423,130,37624,17102,12377,10897
424,130,37374,17287,12452,10887
425,130,37571,17170,12354,10905
426,130,37283,17398,12443,10876
427,130,37571,17092,12553,10784
428,130,37498,17106,12397,10999
429,130,36321,17339,12558,11782
430,130,37323,18024,11832,10821
431,130,35184,17948,12692,12176
432,130,36218,17248,12813,11721
433,130,36252,17162,12816,11770
434,130,37249,16879,12324,11548
435,130,37395,16790,12303,11512
