round,seed,exploit,defect,exploit_,coop
366,123,13843,19990,17281,26886
367,123,13620,20736,17085,26559
368,123,13966,20663,16878,26493
369,123,13763,22764,17118,24355
370,123,13817,22688,17011,24484
371,123,13982,24794,16982,22242
372,123,13715,22567,17111,24607
373,123,13892,22650,16999,24459
374,123,13197,24622,17539,22642
375,123,13987,26769,16378,20866
376,123,13868,28152,16784,19196
377,123,14043,25977,16998,20982
378,123,13705,26551,17077,20667
379,123,13951,27627,16860,19562
380,123,13362,29023,17704,17911
381,123,12813,27729,18062,19396
382,123,12855,27714,18097,19334
383,123,12628,26815,18862,19695
384,123,12628,26253,18139,20980
385,123,11860,28077,18980,19083
386,123,12065,27276,18622,20037
387,123,11887,27254,18529,20330
388,123,11259,26072,18969,21700
389,123,11263,26677,18695,21365
390,123,11698,25407,18102,22793
391,123,12401,26702,17861,21036
392,123,13237,25498,17602,21663
393,123,13752,27745,16277,20226
394,123,14173,27401,16326,20100
395,123,13851,27637,16128,20384
396,123,13938,27719,16205,20138
397,123,13797,29030,16508,18665
398,123,13933,28735,16539,18793
399,123,14035,28957,16405,18603
400,123,13835,29047,16279,18839
401,123,13916,28853,16402,18829
402,123,13779,29156,16363,18702
403,123,13964,28206,16009,19821
404,123,13979,28011,16312,19698
405,123,13890,28025,16294,19791
406,123,14150,28152,16237,19461
407,123,13964,28005,16205,19826
408,123,13814,28219,16089,19878
409,123,13913,29508,15419,19160
410,123,14100,29752,15274,18874
411,123,14811,28578,15172,19439
412,123,13823,30914,15564,17699
413,123,14109,31736,15396,16759
414,123,14492,30900,15471,17137
415,123,14202,32857,15391,15550
416,123,14347,31848,15039,16766
417,123,14260,31572,15366,16802
418,123,14363,31536,15310,16791
419,123,14260,31637,15382,16721
420,123,14429,31351,15532,16688
421,123,14748,29500,15437,18315
422,123,14057,27332,16421,20190
423,123,14062,28227,16650,19061
424,123,14604,30445,15698,17253
425,123,14042,29544,15898,18516
426,123,14450,30597,15647,17306
427,123,14762,29809,15868,17561
428,123,13398,31947,16582,16073
429,123,14322,29700,16380,17598
430,123,12789,31971,17139,16101
431,123,12913,31843,17380,15864
432,123,13039,32872,16461,15628
433,123,13121,32815,16487,15577
434,123,13338,35136,15631,13895
435,123,13415,35977,15295,13313
436,123,13183,34486,15951,14380
437,123,14435,32232,15397,15936
438,123,14640,33268,14523,15569
439,123,14642,33330,14645,15383
440,123,13920,35363,14796,13921
441,123,13096,37744,14670,12490
442,123,12910,36918,14868,13304
443,123,12787,37095,14909,13209
444,123,13238,37684,14778,12300
445,123,13808,38983,13798,11411
446,123,13744,39454,13665,11137
447,123,13672,39208,13832,11288
448,123,13695,40094,13833,10378
449,123,13878,39393,13980,10749
450,123,14472,37180,14006,12342
451,123,14595,36996,14162,12247
452,123,14511,36972,14273,12244
453,123,14446,37336,13967,12251
454,123,14702,35389,15051,12858
455,123,14341,34765,15283,13611
456,123,14591,35467,15209,12733
457,123,14637,36114,14724,12525
458,123,14104,38376,14293,11227
459,123,13306,39891,14147,10656
460,123,13729,38508,14045,11718
461,123,13793,38594,14112,11501
462,123,13675,38808,13944,11573
463,123,13485,37200,15227,12088
464,123,13514,35901,15559,13026
465,123,13443,35829,15432,13296
466,123,13462,35732,15484,13322
467,123,13365,35997,15454,13184
468,123,13253,34457,15671,14619
469,123,13988,32787,16122,15103
470,123,14251,31993,16335,15421
471,123,13757,30000,17152,17091
472,123,13279,27875,18133,18713
473,123,13751,29713,17460,17076
474,123,13249,29351,17311,18089
475,123,14190,27836,16715,19259
476,123,13840,30148,16567,17445
477,123,13747,29884,16472,17897
478,123,13273,31149,17152,16426
479,123,13476,30688,16874,16962
480,123,13585,30711,16985,16719
481,123,13668,32897,16235,15200
482,123,13788,33357,16180,14675
483,123,13614,33455,15992,14939
484,123,12875,35670,16144,13311
485,123,13346,36989,15500,12165
486,123,13301,36940,15652,12107
487,123,13196,37062,15285,12457
488,123,12442,38520,15895,11143
489,123,12520,39453,15905,10122
490,123,12769,40446,15470,9315
491,123,12713,40514,15319,9454
492,123,13006,40318,15491,9185
493,123,12814,40507,15373,9306
494,123,12766,40493,15447,9294
495,123,13686,39112,14875,10327
496,123,13541,37532,15963,10964
497,123,13770,36480,15987,11763
498,123,13871,36332,15994,11803
499,123,13680,37417,16060,10843
500,123,13609,38676,15166,10549
501,123,12899,39839,15728,9534
502,123,13015,39463,15895,9627
503,123,13286,38207,15941,10566
504,123,13104,38504,16010,10382
505,123,12911,36288,16915,11886
506,123,13144,36180,16888,11788
507,123,13106,36079,16883,11932
508,123,12999,36262,16856,11883
