round,seed,population_seed,strategy,count,percentage
109,536,35,exploitation,30309,0.39
110,536,35,coop,18424,0.24
110,536,35,defect,28403,0.36
110,536,35,exploitation,31173,0.4
111,536,35,coop,18203,0.23
111,536,35,defect,29332,0.38
111,536,35,exploitation,30465,0.39
112,536,35,coop,18670,0.24
112,536,35,defect,28431,0.36
112,536,35,exploitation,30899,0.4
113,536,35,coop,19940,0.26
113,536,35,defect,27448,0.35
113,536,35,exploitation,30612,0.39
114,536,35,coop,19844,0.25
114,536,35,defect,27196,0.35
114,536,35,exploitation,30960,0.4
115,536,35,coop,19760,0.25
115,536,35,defect,27120,0.35
115,536,35,exploitation,31120,0.4
116,536,35,coop,21336,0.27
116,536,35,defect,26115,0.33
116,536,35,exploitation,30549,0.39
117,536,35,coop,21462,0.28
117,536,35,defect,25773,0.33
117,536,35,exploitation,30765,0.39
118,536,35,coop,19189,0.25
118,536,35,defect,27985,0.36
118,536,35,exploitation,30826,0.4
119,536,35,coop,19764,0.25
119,536,35,defect,27459,0.35
119,536,35,exploitation,30777,0.39
120,536,35,coop,19418,0.25
120,536,35,defect,28181,0.36
120,536,35,exploitation,30401,0.39
121,536,35,coop,20997,0.27
121,536,35,defect,26635,0.34
121,536,35,exploitation,30368,0.39
122,536,35,coop,20937,0.27
122,536,35,defect,26867,0.34
122,536,35,exploitation,30196,0.39
123,536,35,coop,21030,0.27
123,536,35,defect,26046,0.33
123,536,35,exploitation,30924,0.4
124,536,35,coop,19621,0.25
124,536,35,defect,28085,0.36
124,536,35,exploitation,30294,0.39
125,536,35,coop,19475,0.25
125,536,35,defect,27915,0.36
125,536,35,exploitation,30610,0.39
126,536,35,coop,19434,0.25
126,536,35,defect,28362,0.36
126,536,35,exploitation,30204,0.39
127,536,35,coop,19412,0.25
127,536,35,defect,28076,0.36
127,536,35,exploitation,30512,0.39
128,536,35,coop,19330,0.25
128,536,35,defect,28812,0.37
128,536,35,exploitation,29858,0.38
129,536,35,coop,20547,0.26
129,536,35,defect,27772,0.36
129,536,35,exploitation,29681,0.38
130,536,35,coop,19078,0.24
130,536,35,defect,28854,0.37
130,536,35,exploitation,30068,0.39
131,536,35,coop,20674,0.27
131,536,35,defect,27535,0.35
131,536,35,exploitation,29791,0.38
132,536,35,coop,19170,0.25
132,536,35,defect,28814,0.37
132,536,35,exploitation,30016,0.38
133,536,35,coop,19300,0.25
133,536,35,defect,28798,0.37
133,536,35,exploitation,29902,0.38
134,536,35,coop,17811,0.23
134,536,35,defect,30414,0.39
134,536,35,exploitation,29775,0.38
135,536,35,coop,16450,0.21
135,536,35,defect,31479,0.4
135,536,35,exploitation,30071,0.39
136,536,35,coop,15288,0.2
136,536,35,defect,32891,0.42
136,536,35,exploitation,29821,0.38
137,536,35,coop,15216,0.2
137,536,35,defect,32790,0.42
137,536,35,exploitation,29994,0.38
138,536,35,coop,16313,0.21
138,536,35,defect,31722,0.41
138,536,35,exploitation,29965,0.38
139,536,35,coop,16301,0.21
139,536,35,defect,31393,0.4
139,536,35,exploitation,30306,0.39
140,536,35,coop,16560,0.21
140,536,35,defect,31470,0.4
140,536,35,exploitation,29970,0.38
141,536,35,coop,16790,0.22
141,536,35,defect,30705,0.39
141,536,35,exploitation,30505,0.39
142,536,35,coop,16926,0.22
142,536,35,defect,30673,0.39
142,536,35,exploitation,30401,0.39
143,536,35,coop,17715,0.23
143,536,35,defect,30001,0.38
143,536,35,exploitation,30284,0.39
144,536,35,coop,18053,0.23
144,536,35,defect,29836,0.38
144,536,35,exploitation,30111,0.39
145,536,35,coop,17948,0.23
145,536,35,defect,29990,0.38
145,536,35,exploitation,30062,0.39
146,536,35,coop,19141,0.25
146,536,35,defect,28787,0.37
146,536,35,exploitation,30072,0.39
147,536,35,coop,20644,0.26
147,536,35,defect,26787,0.34
147,536,35,exploitation,30569,0.39
148,536,35,coop,20695,0.27
148,536,35,defect,26935,0.35
148,536,35,exploitation,30370,0.39
149,536,35,coop,20741,0.27
149,536,35,defect,26814,0.34
149,536,35,exploitation,30445,0.39
150,536,35,coop,19317,0.25
150,536,35,defect,28084,0.36
150,536,35,exploitation,30599,0.39
151,536,35,coop,19634,0.25
151,536,35,defect,27807,0.36
151,536,35,exploitation,30559,0.39
152,536,35,coop,19773,0.25
152,536,35,defect,27760,0.36
152,536,35,exploitation,30467,0.39
153,536,35,coop,18528,0.24
153,536,35,defect,28348,0.36
153,536,35,exploitation,31124,0.4
154,536,35,coop,18436,0.24
154,536,35,defect,28755,0.37
154,536,35,exploitation,30809,0.39
155,536,35,coop,18546,0.24
155,536,35,defect,28367,0.36
155,536,35,exploitation,31087,0.4
156,536,35,coop,18491,0.24
156,536,35,defect,28645,0.37
156,536,35,exploitation,30864,0.4
157,536,35,coop,18689,0.24
157,536,35,defect,27939,0.36
157,536,35,exploitation,31372,0.4
158,536,35,coop,18648,0.24
158,536,35,defect,27834,0.36
158,536,35,exploitation,31518,0.4
159,536,35,coop,18185,0.23
159,536,35,defect,28740,0.37
159,536,35,exploitation,31075,0.4
160,536,35,coop,20330,0.26
160,536,35,defect,26624,0.34
160,536,35,exploitation,31046,0.4
161,536,35,coop,18828,0.24
161,536,35,defect,27609,0.35
161,536,35,exploitation,31563,0.4
162,536,35,coop,18745,0.24
162,536,35,defect,28611,0.37
162,536,35,exploitation,30644,0.39
163,536,35,coop,17183,0.22
163,536,35,defect,29714,0.38
163,536,35,exploitation,31103,0.4
164,536,35,coop,15748,0.2
164,536,35,defect,30993,0.4
164,536,35,exploitation,31259,0.4
165,536,35,coop,15512,0.2
165,536,35,defect,32083,0.41
165,536,35,exploitation,30405,0.39
166,536,35,coop,16835,0.22
166,536,35,defect,30935,0.4
166,536,35,exploitation,30230,0.39
167,536,35,coop,18352,0.24
167,536,35,defect,29463,0.38
167,536,35,exploitation,30185,0.39
168,536,35,coop,18123,0.23
168,536,35,defect,29605,0.38
168,536,35,exploitation,30272,0.39
169,536,35,coop,17989,0.23
169,536,35,defect,29418,0.38
169,536,35,exploitation,30593,0.39
170,536,35,coop,16928,0.22
170,536,35,defect,30602,0.39
170,536,35,exploitation,30470,0.39
171,536,35,coop,15604,0.2
171,536,35,defect,31965,0.41
171,536,35,exploitation,30431,0.39
172,536,35,coop,15578,0.2
172,536,35,defect,31903,0.41
172,536,35,exploitation,30519,0.39
173,536,35,coop,14311,0.18
173,536,35,defect,33252,0.43
173,536,35,exploitation,30437,0.39
174,536,35,coop,12751,0.16
174,536,35,defect,35728,0.46
174,536,35,exploitation,29521,0.38
175,536,35,coop,12909,0.17
175,536,35,defect,35469,0.45
175,536,35,exploitation,29622,0.38
176,536,35,coop,13868,0.18
176,536,35,defect,34336,0.44
176,536,35,exploitation,29796,0.38
177,536,35,coop,15087,0.19
177,536,35,defect,32825,0.42
177,536,35,exploitation,30088,0.39
178,536,35,coop,15449,0.2
178,536,35,defect,32334,0.41
178,536,35,exploitation,30217,0.39
179,536,35,coop,17109,0.22
179,536,35,defect,30550,0.39
179,536,35,exploitation,30341,0.39
180,536,35,coop,15214,0.2
180,536,35,defect,32520,0.42
180,536,35,exploitation,30266,0.39
181,536,35,coop,16471,0.21
181,536,35,defect,30933,0.4
181,536,35,exploitation,30596,0.39
182,536,35,coop,15229,0.2
182,536,35,defect,33147,0.42
182,536,35,exploitation,29624,0.38
183,536,35,coop,13803,0.18
183,536,35,defect,34581,0.44
183,536,35,exploitation,29616,0.38
184,536,35,coop,13862,0.18
184,536,35,defect,34578,0.44
184,536,35,exploitation,29560,0.38
185,536,35,coop,12878,0.17
185,536,35,defect,36118,0.46
185,536,35,exploitation,29004,0.37
186,536,35,coop,12745,0.16
186,536,35,defect,36286,0.47
186,536,35,exploitation,28969,0.37
187,536,35,coop,13980,0.18
187,536,35,defect,34743,0.45
187,536,35,exploitation,29277,0.38
188,536,35,coop,14196,0.18
188,536,35,defect,34647,0.44
188,536,35,exploitation,29157,0.37
189,536,35,coop,14094,0.18
189,536,35,defect,33700,0.43
189,536,35,exploitation,30206,0.39
190,536,35,coop,12964,0.17
190,536,35,defect,35086,0.45
190,536,35,exploitation,29950,0.38
191,536,35,coop,11776,0.15
191,536,35,defect,37027,0.47
191,536,35,exploitation,29197,0.37
192,536,35,coop,10316,0.13
192,536,35,defect,39377,0.5
192,536,35,exploitation,28307,0.36
193,536,35,coop,9998,0.13
193,536,35,defect,40695,0.52
193,536,35,exploitation,27307,0.35
194,536,35,coop,9064,0.12
194,536,35,defect,42070,0.54
194,536,35,exploitation,26866,0.34
195,536,35,coop,7836,0.1
195,536,35,defect,44420,0.57
195,536,35,exploitation,25744,0.33
196,536,35,coop,8139,0.1
196,536,35,defect,43311,0.56
196,536,35,exploitation,26550,0.34
197,536,35,coop,8209,0.11
197,536,35,defect,43406,0.56
197,536,35,exploitation,26385,0.34
198,536,35,coop,9181,0.12
198,536,35,defect,41762,0.54
198,536,35,exploitation,27057,0.35
199,536,35,coop,8933,0.11
199,536,35,defect,41923,0.54
199,536,35,exploitation,27144,0.35
200,536,35,coop,9032,0.12
200,536,35,defect,41925,0.54
200,536,35,exploitation,27043,0.35
201,536,35,coop,9653,0.12
201,536,35,defect,41305,0.53
201,536,35,exploitation,27042,0.35
202,536,35,coop,9933,0.13
202,536,35,defect,41197,0.53
202,536,35,exploitation,26870,0.34
203,536,35,coop,9725,0.12
203,536,35,defect,41046,0.53
203,536,35,exploitation,27229,0.35
204,536,35,coop,9978,0.13
204,536,35,defect,41229,0.53
204,536,35,exploitation,26793,0.34
205,536,35,coop,9063,0.12
205,536,35,defect,42524,0.55
205,536,35,exploitation,26413,0.34
206,536,35,coop,8831,0.11
206,536,35,defect,42400,0.54
206,536,35,exploitation,26769,0.34
207,536,35,coop,8658,0.11
207,536,35,defect,42737,0.55
207,536,35,exploitation,26605,0.34
208,536,35,coop,8788,0.11
208,536,35,defect,42576,0.55
208,536,35,exploitation,26636,0.34
209,536,35,coop,8068,0.1
209,536,35,defect,43819,0.56
209,536,35,exploitation,26113,0.33
210,536,35,coop,7986,0.1
210,536,35,defect,43843,0.56
210,536,35,exploitation,26171,0.34
211,536,35,coop,7126,0.09
211,536,35,defect,44975,0.58
211,536,35,exploitation,25899,0.33
212,536,35,coop,7096,0.09
212,536,35,defect,45156,0.58
212,536,35,exploitation,25748,0.33
213,536,35,coop,7026,0.09
213,536,35,defect,45109,0.58
213,536,35,exploitation,25865,0.33
214,536,35,coop,7080,0.09
214,536,35,defect,45127,0.58
214,536,35,exploitation,25793,0.33
215,536,35,coop,7887,0.1
215,536,35,defect,44055,0.56
215,536,35,exploitation,26058,0.33
216,536,35,coop,7841,0.1
216,536,35,defect,44047,0.56
216,536,35,exploitation,26112,0.33
217,536,35,coop,6922,0.09
217,536,35,defect,45230,0.58
217,536,35,exploitation,25848,0.33
218,536,35,coop,7041,0.09
218,536,35,defect,45289,0.58
218,536,35,exploitation,25670,0.33
219,536,35,coop,7175,0.09
219,536,35,defect,45214,0.58
219,536,35,exploitation,25611,0.33
220,536,35,coop,5804,0.07
220,536,35,defect,47821,0.61
220,536,35,exploitation,24375,0.31
221,536,35,coop,6776,0.09
221,536,35,defect,46510,0.6
221,536,35,exploitation,24714,0.32
222,536,35,coop,5943,0.08
222,536,35,defect,47860,0.61
222,536,35,exploitation,24197,0.31
223,536,35,coop,6973,0.09
223,536,35,defect,46405,0.59
223,536,35,exploitation,24622,0.32
224,536,35,coop,6022,0.08
224,536,35,defect,47678,0.61
224,536,35,exploitation,24300,0.31
225,536,35,coop,5340,0.07
225,536,35,defect,49008,0.63
225,536,35,exploitation,23652,0.3
226,536,35,coop,5238,0.07
226,536,35,defect,48928,0.63
