round,seed,exploit,defect,exploit_,coop
422,123,14297,30023,14120,19560
423,123,14567,28695,14632,20106
424,123,14696,30482,13881,18941
425,123,14712,29590,14213,19485
426,123,14551,28769,14472,20208
427,123,14158,29573,14740,19529
428,123,13708,31150,15371,17771
429,123,13593,31211,15393,17803
430,123,13079,32041,15456,17424
431,123,13103,32030,15353,17514
432,123,13272,32718,14714,17296
433,123,14100,31205,14469,18226
434,123,14096,31189,14486,18229
435,123,14271,33057,13948,16724
436,123,13866,30970,14484,18680
437,123,14007,31291,14504,18198
438,123,14054,30590,14782,18574
439,123,13862,29324,14813,20001
440,123,13651,30073,15169,19107
441,123,13007,32410,15134,17449
442,123,13090,33040,14889,16981
443,123,12769,34303,15060,15868
444,123,12733,33875,15344,16048
445,123,13287,35414,14465,14834
446,123,13505,37285,13841,13369
447,123,13373,38602,13650,12375
448,123,13331,39555,13836,11278
449,123,13436,38973,13727,11864
450,123,14073,36506,13932,13489
451,123,14463,35946,14035,13556
452,123,13812,37250,14464,12474
453,123,14665,36008,13972,13355
454,123,15322,36616,13926,12136
455,123,14725,34127,15308,13840
456,123,14816,35120,15171,12893
457,123,14922,35104,15083,12891
458,123,14494,36147,14864,12495
459,123,14032,38317,14439,11212
460,123,14108,37736,14278,11878
461,123,15174,35259,14146,13421
462,123,14509,36674,14431,12386
463,123,13957,35476,15192,13375
464,123,13891,33953,15604,14552
465,123,13950,34107,15398,14545
466,123,14953,32591,14753,15703
467,123,14921,32563,14758,15758
468,123,14766,31707,14790,16737
469,123,14658,30347,14877,18118
470,123,14870,29883,15064,18183
471,123,15062,30917,14618,17403
472,123,15515,32109,14440,15936
473,123,15422,32259,14226,16093
474,123,15530,34441,13715,14314
475,123,15910,33543,13083,15464
476,123,15848,33552,13166,15434
477,123,15752,33434,13278,15536
478,123,16011,33326,13218,15445
479,123,16820,31309,12700,17171
480,123,16680,31580,12655,17085
481,123,16836,31303,12795,17066
482,123,16500,30313,13033,18154
483,123,16198,29487,13161,19154
484,123,15585,29966,13321,19128
485,123,15771,29637,13469,19123
486,123,15662,29692,13496,19150
487,123,15621,29879,13549,18951
488,123,15113,30967,14041,17879
489,123,15209,32515,13901,16375
490,123,14775,31282,14942,17001
491,123,14864,32689,14912,15535
492,123,14845,32703,14779,15673
493,123,15462,34961,13400,14177
494,123,15687,33513,13284,15516
495,123,14819,34928,13849,14404
496,123,15005,34906,14072,14017
497,123,14625,36021,13607,13747
498,123,14719,36108,13410,13763
499,123,14602,37517,13383,12498
500,123,14613,36682,13728,12977
501,123,14200,37739,14024,12037
502,123,13223,39765,14237,10775
503,123,13419,38523,14462,11596
504,123,13340,38398,14392,11870
505,123,13009,37110,14926,12955
506,123,13168,37175,14811,12846
507,123,13753,35602,14578,14067
508,123,13677,35105,14967,14251
509,123,14111,36666,14138,13085
510,123,14369,35334,14269,14028
511,123,14262,35281,14205,14252
512,123,14450,33872,14483,15195
513,123,14446,34237,14113,15204
514,123,14556,35273,13983,14188
515,123,14900,33618,13769,15713
516,123,15053,34599,13752,14596
517,123,15485,37199,12538,12778
518,123,14562,38147,12576,12715
519,123,14801,38074,12560,12565
520,123,14321,39390,12750,11539
521,123,14314,37869,13195,12622
522,123,14423,37906,13255,12416
523,123,14472,38792,12908,11828
524,123,14722,40273,12417,10588
525,123,15133,38095,12716,12056
526,123,15262,38034,12688,12016
527,123,14357,39391,13174,11078
528,123,14356,37679,13869,12096
529,123,14150,38076,13687,12087
530,123,13998,37967,13749,12286
531,123,14280,37939,13575,12206
532,123,14510,39316,12984,11190
533,123,14404,37887,13748,11961
534,123,14065,36548,14342,13045
535,123,12963,38911,14329,11797
536,123,12082,40249,14841,10828
537,123,12059,40681,14529,10731
538,123,11932,41438,14867,9763
539,123,11523,42901,14729,8847
540,123,12523,40606,14954,9917
541,123,13420,38267,14949,11364
542,123,13383,38210,14981,11426
543,123,13541,39564,14581,10314
544,123,12877,42005,14059,9059
545,123,12816,42025,14072,9087
546,123,12360,43207,13880,8553
547,123,12387,42927,14028,8658
548,123,11554,44524,14128,7794
549,123,11664,43465,14245,8626
550,123,11652,44406,14144,7798
551,123,11095,45509,13874,7522
552,123,10882,46920,13336,6862
553,123,10979,47049,13401,6571
554,123,10195,48429,13356,6020
555,123,10100,48495,13434,5971
556,123,10445,49372,12958,5225
557,123,10204,49719,12906,5171
558,123,10210,49546,13011,5233
559,123,10035,48276,13774,5915
560,123,10103,48163,13740,5994
561,123,10026,49633,12969,5372
562,123,10664,48680,13196,5460
563,123,10506,49457,13251,4786
564,123,10349,49569,13353,4729
565,123,10353,49553,13242,4852
566,123,10755,48336,13425,5484
567,123,10788,49672,12827,4713
