,GTFT: 0.33,Cooperator,Tit For Tat,Defector
432,5,12,10,13
433,5,12,10,13
434,5,12,10,13
435,5,12,10,13
436,4,13,10,13
437,5,13,9,13
438,5,13,9,13
439,5,13,9,13
440,5,14,9,12
441,5,13,9,13
442,5,12,9,14
443,5,12,9,14
444,5,12,9,14
445,5,13,9,13
446,4,13,9,14
447,4,14,9,13
448,4,14,9,13
449,4,13,10,13
450,4,12,11,13
451,4,13,10,13
452,4,13,11,12
453,5,12,11,12
454,5,11,11,13
455,5,12,11,12
456,5,12,11,12
457,5,12,12,11
458,6,11,12,11
459,6,12,12,10
460,6,12,12,10
461,6,11,12,11
462,6,11,12,11
463,7,11,11,11
464,7,11,11,11
465,7,11,12,10
466,7,11,13,9
467,7,12,13,8
468,7,12,13,8
469,7,13,12,8
470,7,14,12,7
471,7,15,11,7
472,7,15,11,7
473,6,15,12,7
474,6,15,12,7
475,6,15,11,8
476,6,16,10,8
477,6,17,9,8
478,6,18,8,8
479,7,18,7,8
480,7,17,8,8
481,6,17,9,8
482,6,16,9,9
483,6,15,9,10
484,6,16,8,10
485,6,17,8,9
486,6,16,9,9
487,6,17,8,9
488,5,17,8,10
489,5,17,8,10
490,4,18,8,10
491,4,17,9,10
492,4,16,9,11
493,4,16,9,11
494,4,16,10,10
495,4,16,10,10
496,4,16,10,10
497,4,16,11,9
498,4,17,10,9
499,4,16,10,10
500,4,16,10,10
501,4,17,9,10
502,4,17,8,11
503,4,18,7,11
504,4,18,7,11
505,4,18,7,11
506,5,18,6,11
507,4,19,6,11
508,4,20,6,10
509,4,21,5,10
510,3,22,5,10
511,3,22,5,10
512,3,22,5,10
513,2,22,5,11
514,2,21,5,12
515,2,20,5,13
516,2,21,4,13
517,2,21,4,13
518,2,22,3,13
519,2,22,3,13
520,2,23,3,12
521,2,22,3,13
522,2,22,3,13
523,1,22,3,14
524,1,22,3,14
525,1,22,3,14
526,1,22,3,14
527,2,21,3,14
528,2,21,3,14
529,2,21,3,14
530,2,21,3,14
531,2,20,4,14
532,2,20,3,15
533,2,20,3,15
534,3,20,3,14
535,3,19,4,14
536,3,20,4,13
537,3,20,5,12
538,3,20,5,12
539,4,20,5,11
540,4,21,5,10
541,4,21,4,11
542,4,21,4,11
543,4,21,4,11
544,4,20,4,12
545,4,20,4,12
546,4,20,5,11
547,4,20,5,11
548,4,20,5,11
549,4,20,6,10
550,5,20,6,9
551,5,20,6,9
552,5,19,6,10
553,5,18,7,10
554,5,17,7,11
555,5,16,7,12
556,5,15,8,12
557,6,14,8,12
558,6,14,8,12
559,6,14,8,12
560,6,13,9,12
561,6,12,9,13
562,6,12,9,13
563,6,12,9,13
564,7,12,9,12
565,7,13,9,11
566,6,14,9,11
567,6,14,9,11
568,7,13,9,11
569,7,13,9,11
570,7,13,8,12
571,7,12,9,12
572,6,12,9,13
573,6,12,9,13
574,6,12,9,13
575,7,12,9,12
576,7,11,9,13
577,7,11,8,14
578,6,11,8,15
579,6,11,9,14
580,7,11,8,14
581,7,11,8,14
582,8,10,8,14
583,8,10,8,14
584,8,10,7,15
585,8,9,8,15
586,8,9,8,15
587,7,9,9,15
588,7,9,9,15
589,7,10,9,14
590,7,9,10,14
591,7,9,11,13
592,7,9,12,12
593,7,10,12,11
594,7,11,12,10
595,7,10,13,10
596,7,10,13,10
597,7,10,13,10
598,7,10,13,10
599,6,10,14,10
600,6,10,14,10
601,6,10,14,10
602,7,9,14,10
603,8,9,13,10
604,8,9,13,10
605,7,9,13,11
606,6,9,13,12
607,6,9,12,13
608,7,9,11,13
609,8,9,11,12
610,8,9,11,12
611,8,9,12,11
612,8,10,12,10
613,8,10,11,11
614,8,9,12,11
615,7,10,12,11
616,7,10,12,11
617,7,11,12,10
618,8,11,12,9
619,9,11,11,9
620,9,12,11,8
621,10,12,10,8
622,11,12,10,7
623,11,12,10,7
624,12,12,10,6
625,11,12,10,7
626,12,12,9,7
627,11,12,9,8
628,11,12,10,7
629,11,13,10,6
630,11,13,10,6
631,12,12,10,6
632,12,12,10,6
633,12,12,10,6
634,12,12,10,6
635,12,11,10,7
636,13,11,9,7
637,14,11,8,7
638,13,12,8,7
639,13,13,7,7
640,14,13,6,7
641,14,12,7,7
642,13,12,8,7
643,12,13,8,7
644,12,14,8,6
645,12,15,8,5
646,11,16,8,5
647,10,16,8,6
648,10,16,8,6
649,10,17,7,6
650,11,17,7,5
651,12,16,7,5
652,12,15,7,6
653,12,14,7,7
654,13,13,7,7
655,12,14,7,7
656,13,13,7,7
657,14,13,6,7
658,13,14,6,7
659,13,14,6,7
660,13,13,6,8
661,13,13,7,7
662,13,12,7,8
663,13,12,7,8
664,13,12,6,9
665,13,11,6,10
666,13,11,6,10
667,13,12,6,9
668,14,12,5,9
669,14,12,5,9
670,14,12,5,9
671,14,12,6,8
672,14,12,6,8
673,14,11,6,9
674,13,12,6,9
675,14,12,6,8
676,13,13,6,8
677,13,13,6,8
678,13,13,5,9
679,13,13,4,10
680,13,13,4,10
681,13,12,4,11
682,12,12,4,12
683,13,12,4,11
684,14,11,4,11
685,15,11,4,10
686,14,11,4,11
687,13,11,4,12
688,12,11,5,12
689,11,11,5,13
690,10,11,5,14
